region,timepoint,strata_level,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
pooled,pooled,pooled,activated_endothelial_cd44,activated_fibroblast_cd140b,-0.14339076827358266,0.9053887162811807,-0.3764149878529107,0.08963345130574542,"[0.08963345130574542, -0.3764149878529107]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_fibroblast_cd44,1.1056093160042428,2.1518974335827314,0.9502653633435963,1.2609532686648894,"[0.9502653633435963, 1.2609532686648894]",144,20,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_immune,1.4286279748827209,2.6919058922230112,1.2188332729648401,1.6384226768006016,"[1.6384226768006016, 1.2188332729648401]",111,15,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_m2_cd140b,0.8563391475158264,1.810438472072304,0.39984248683616624,1.3128358081954865,"[1.3128358081954865, 0.39984248683616624]",155,21,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_m2_cd44,-0.42120234372677395,0.7468019792579509,-0.9550750425209206,0.11267035506737269,"[0.11267035506737269, -0.9550750425209206]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_myeloid_cd140b,1.303622633424363,2.4684794477382805,1.1907600855845935,1.4164851812641328,"[1.1907600855845935, 1.4164851812641328]",126,18,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_myeloid_cd44,0.1067203521523451,1.0767776364900803,-0.00740500726259033,0.22084571156728053,"[-0.00740500726259033, 0.22084571156728053]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,endothelial,0.020753711535575946,1.0144893441063925,-0.04359563351222728,0.08510305658337917,"[-0.04359563351222728, 0.08510305658337917]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,fibroblast,-0.13969336269941948,0.9077120642768629,-0.4042214803915304,0.12483475499269141,"[-0.4042214803915304, 0.12483475499269141]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,immune_cells,-0.09667706722835766,0.9351845059686801,-0.22978183693471274,0.036427702477997426,"[-0.22978183693471274, 0.036427702477997426]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,m2_macrophage,-0.4329531227913874,0.7407439674684088,-0.666206792574018,-0.19969945300875686,"[-0.19969945300875686, -0.666206792574018]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,myeloid,-0.4957700142983907,0.7091830624956702,-0.9789509745437401,-0.01258905405304118,"[-0.01258905405304118, -0.9789509745437401]",172,23,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,neutrophil,0.022615618862671837,1.01579946474086,0.0021731292883611364,0.04305810843698254,"[0.04305810843698254, 0.0021731292883611364]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_endothelial_cd140b,0.38671358163237546,1.3074117622028172,0.22052544860517792,0.552901714659573,"[0.552901714659573, 0.22052544860517792]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_endothelial_cd44,0.008574697842491326,1.0059612254391346,-0.12452826823191869,0.14167766391690134,"[-0.12452826823191869, 0.14167766391690134]",400,24,2,2,0,False,False
