focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_endothelial_cd140b,fibroblast,D1,0.053893442622950816,0.06297752879198551,0.8620139284066487,-0.29263810197234724,0.3333333333333333,488.0,6.0,0.0
activated_endothelial_cd140b,fibroblast,D3,0.046636771300448424,0.04909648199118163,0.9537792441306844,-0.09468032360100341,0.0,446.0,6.0,0.0
activated_endothelial_cd140b,fibroblast,D7,0.023611111111111114,0.036762104393216886,0.7420011989067697,-0.5127466045775864,0.3333333333333333,576.0,6.0,0.0
activated_endothelial_cd140b,fibroblast,Sham,0.06981132075471698,0.07615325672413378,0.9231502889088953,-0.1505783822123629,0.16666666666666666,424.0,6.0,0.0
activated_endothelial_cd140b,immune_cells,D1,0.06188524590163935,0.069823076447975,0.8996798118903142,-0.1696705964034151,0.0,488.0,6.0,0.0
activated_endothelial_cd140b,immune_cells,D3,0.04013452914798206,0.04805296008425004,0.7943009763671344,-0.44547435517889244,0.0,446.0,6.0,0.0
activated_endothelial_cd140b,immune_cells,D7,0.021354166666666664,0.027900418670933506,0.7238773997829293,-0.5434980092173591,0.0,576.0,6.0,0.0
activated_endothelial_cd140b,immune_cells,Sham,0.05849056603773584,0.06407564684293457,0.9371225182863115,-0.15078268741170828,0.3333333333333333,424.0,6.0,0.0
activated_endothelial_cd140b,m2_macrophage,D1,0.014959016393442623,0.017450590104433013,0.8222818080149662,-0.3122757854454683,0.0,488.0,6.0,0.0
activated_endothelial_cd140b,m2_macrophage,D3,0.01591928251121076,0.016736578243106967,0.8889995934558714,-0.22112813442711582,0.0,446.0,6.0,0.0
activated_endothelial_cd140b,m2_macrophage,D7,0.009895833333333333,0.019121235242912135,0.4670835391133152,-1.1361922275646892,0.16666666666666666,576.0,6.0,0.0
activated_endothelial_cd140b,m2_macrophage,Sham,0.018396226415094342,0.019700828248200655,0.9190152979468398,-0.12977897580118392,0.0,424.0,6.0,0.0
activated_endothelial_cd140b,myeloid,D1,0.012704918032786885,0.015156362545100164,0.798079484836657,-0.36064346864178987,0.0,488.0,6.0,0.0
activated_endothelial_cd140b,myeloid,D3,0.008071748878923767,0.011437948901850703,0.7356920421382305,-0.5377164647389514,0.0,446.0,6.0,0.0
activated_endothelial_cd140b,myeloid,D7,0.0076388888888888895,0.011696534760146012,0.505225212191358,-1.2243090213919054,0.0,576.0,6.0,0.0
activated_endothelial_cd140b,myeloid,Sham,0.01727019498607242,0.01929950946718873,0.9503397598189895,-0.13540279038260142,0.0,359.0,5.0,0.0
activated_endothelial_cd140b,neutrophil,D1,0.11168032786885246,0.14671960897952402,0.7596186195464791,-0.4083209260512418,0.5,488.0,6.0,0.0
activated_endothelial_cd140b,neutrophil,D3,0.10538116591928251,0.1701607578092485,0.5995734193213555,-0.8593018565915389,0.6666666666666666,446.0,6.0,0.5
activated_endothelial_cd140b,neutrophil,D7,0.0767361111111111,0.1875594308459173,0.4200688041595084,-1.3568830812535249,1.0,576.0,6.0,1.0
activated_endothelial_cd140b,neutrophil,Sham,0.11273584905660376,0.1545954198581101,0.7130539048962496,-0.5434322974837451,0.3333333333333333,424.0,6.0,0.3333333333333333
activated_endothelial_cd44,activated_endothelial_cd140b,D1,0.10286368843069875,0.09614379269640184,1.0300770608347174,-0.009974179682766749,0.5,873.0,6.0,0.3333333333333333
activated_endothelial_cd44,activated_endothelial_cd140b,D3,0.06619273301737756,0.0842897708667563,0.8245763143033625,-0.3146126829213954,0.3333333333333333,633.0,6.0,0.3333333333333333
activated_endothelial_cd44,activated_endothelial_cd140b,D7,0.0875717017208413,0.09583801276919159,0.8602827194985194,-0.37530014055022026,0.6666666666666666,523.0,6.0,0.5
activated_endothelial_cd44,activated_endothelial_cd140b,Sham,0.0966789667896679,0.08891778051279797,1.0643961454220832,0.06432069896991492,0.16666666666666666,813.0,6.0,0.16666666666666666
activated_endothelial_cd44,activated_endothelial_cd44,D1,0.2985108820160367,0.1809536010054004,1.6587890974151152,0.7216626553436551,1.0,873.0,6.0,1.0
activated_endothelial_cd44,activated_endothelial_cd44,D3,0.23459715639810427,0.13148966266315282,1.8685442912780512,0.8351581296378385,1.0,633.0,6.0,1.0
activated_endothelial_cd44,activated_endothelial_cd44,D7,0.26826003824091776,0.10861152374327825,2.4633522452144527,1.1820211911950915,0.8333333333333334,523.0,6.0,0.8333333333333334
activated_endothelial_cd44,activated_endothelial_cd44,Sham,0.28130381303813035,0.18252487155827554,1.5560702605619323,0.6336772742635507,1.0,813.0,6.0,1.0
activated_endothelial_cd44,activated_fibroblast_cd140b,D1,0.03871706758304696,0.053680800389760745,0.7284131530169764,-0.5144696825743199,0.3333333333333333,873.0,6.0,0.3333333333333333
activated_endothelial_cd44,activated_fibroblast_cd140b,D3,0.030173775671406,0.04561572941737672,0.7127995048426468,-0.6115335949186457,0.5,633.0,6.0,0.3333333333333333
activated_endothelial_cd44,activated_fibroblast_cd140b,D7,0.0248565965583174,0.03693864583638744,0.659464196527169,-0.6155511124446184,0.0,523.0,6.0,0.0
activated_endothelial_cd44,activated_fibroblast_cd140b,Sham,0.04526445264452644,0.06111322527155848,0.7271221553868567,-0.4693834835403394,0.3333333333333333,813.0,6.0,0.0
activated_endothelial_cd44,activated_fibroblast_cd44,D1,0.06701030927835051,0.06409140945438901,1.0373590867544844,0.04608059116611907,0.0,873.0,6.0,0.0
activated_endothelial_cd44,activated_fibroblast_cd44,D3,0.0981042654028436,0.07956977936057108,1.282018942853968,0.330930877366274,0.5,633.0,6.0,0.3333333333333333
activated_endothelial_cd44,activated_fibroblast_cd44,D7,0.13078393881453157,0.08746073046719098,1.4579934073843976,0.5285789250066473,0.8333333333333334,523.0,6.0,0.5
activated_endothelial_cd44,activated_fibroblast_cd44,Sham,0.05043050430504305,0.0466999179678908,1.0544225414060733,0.054276900646966074,0.0,813.0,6.0,0.0
activated_endothelial_cd44,activated_immune,D1,0.01993127147766323,0.019941829527839294,1.1259167039738467,0.028545323782989955,0.3333333333333333,873.0,6.0,0.16666666666666666
activated_endothelial_cd44,activated_immune,D3,0.009004739336492892,0.00983116429279344,0.9570942840729574,,0.16666666666666666,633.0,6.0,0.0
activated_endothelial_cd44,activated_immune,D7,0.009751434034416825,0.009839979950329546,1.042974168634949,0.00484499495207612,0.0,523.0,6.0,0.0
activated_endothelial_cd44,activated_immune,Sham,0.023862238622386223,0.022828170506682736,1.070697248148952,0.0322657130261332,0.16666666666666666,813.0,6.0,0.0
activated_endothelial_cd44,activated_m2_cd140b,D1,0.0026345933562428405,0.0066501565139265055,0.43858269451052956,,0.16666666666666666,873.0,6.0,0.16666666666666666
activated_endothelial_cd44,activated_m2_cd140b,D3,0.010742496050552922,0.0170022623841507,0.5997738613852358,-0.8445770774869816,0.16666666666666666,633.0,6.0,0.0
activated_endothelial_cd44,activated_m2_cd140b,D7,0.011472275334608031,0.03321908584155485,0.3387127451609935,-1.6703740684193442,0.5,523.0,6.0,0.3333333333333333
activated_endothelial_cd44,activated_m2_cd140b,Sham,0.005444126074498567,0.009761108073040738,0.5458930276981853,-0.9121388474580455,0.0,698.0,5.0,0.0
activated_endothelial_cd44,activated_m2_cd44,D1,0.06895761741122565,0.0761981252860629,0.92241755415532,-0.11895720793480676,0.0,873.0,6.0,0.0
activated_endothelial_cd44,activated_m2_cd44,D3,0.09304897314375989,0.10643443166482565,0.8773943446445778,-0.1946350537805282,0.16666666666666666,633.0,6.0,0.0
activated_endothelial_cd44,activated_m2_cd44,D7,0.0644359464627151,0.09361894303494313,0.6750916802793627,-0.7422737854243154,0.3333333333333333,523.0,6.0,0.16666666666666666
activated_endothelial_cd44,activated_m2_cd44,Sham,0.07072570725707257,0.07970915389729484,0.8767618100878518,-0.1943589146010655,0.0,813.0,6.0,0.0
activated_endothelial_cd44,activated_myeloid_cd140b,D1,0.0016036655211912943,0.004183000468666838,0.39371897670866746,,0.16666666666666666,873.0,6.0,0.0
activated_endothelial_cd44,activated_myeloid_cd140b,D3,0.004123711340206186,0.005268033145220054,0.6243470790378006,,0.0,485.0,5.0,0.0
activated_endothelial_cd44,activated_myeloid_cd140b,D7,0.004015296367112811,0.008793056953191566,0.34363810185989924,,0.0,523.0,6.0,0.0
activated_endothelial_cd44,activated_myeloid_cd140b,Sham,0.004305043050430504,0.0058971644272796005,0.7191143911439114,-0.6719439403755144,0.0,813.0,6.0,0.0
activated_endothelial_cd44,activated_myeloid_cd44,D1,0.03253150057273769,0.04457647936767268,0.6919886694764612,-0.5508315466617012,0.3333333333333333,873.0,6.0,0.0
