roi_id,focal_cell_type,neighbor_cell_type,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,p_value,n_focal_cells,p_value_fdr,significant_fdr
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,activated_m2_cd140b,0.0,0.0013245033112582781,0.0,,0.8301698301698301,59,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,activated_m2_cd44,0.07627118644067797,0.12582781456953643,0.6061552185548618,-0.7222408220380354,0.06393606393606394,59,0.1944001944001944,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,activated_myeloid_cd140b,0.0,0.0013245033112582781,0.0,,0.8261738261738262,59,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,activated_myeloid_cd44,0.022033898305084745,0.025165562913907286,0.875557537912578,-0.19172610533925585,0.8671328671328671,59,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,endothelial,0.023728813559322035,0.026490066225165563,0.8957627118644068,-0.15881148286652053,0.8681318681318682,59,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,fibroblast,0.3728813559322034,0.0781456953642384,4.7716173513358235,2.2544783541260562,0.000999000999000999,59,0.005482322555493287,True
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,immune_cells,0.1440677966101695,0.10860927152317881,1.326477883422902,0.40760062148285575,0.13986013986013987,59,0.34580803811573047,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,m2_macrophage,0.04067796610169491,0.038410596026490065,1.059029807130333,0.08274319555682154,0.9080919080919081,59,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,myeloid,0.01864406779661017,0.026490066225165563,0.7038135593220339,-0.5067347862868273,0.5964035964035964,59,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,fibroblast,neutrophil,0.17966101694915254,0.16821192052980133,1.0680635259575604,0.09499745775427096,0.6883116883116883,59,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_endothelial_cd140b,0.02195121951219512,0.16026490066225166,0.13696835315460593,-2.868085501125287,0.000999000999000999,82,0.005482322555493287,True
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_endothelial_cd44,0.06097560975609756,0.2119205298013245,0.28772865853658536,-1.7972191704056424,0.000999000999000999,82,0.005482322555493287,True
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_fibroblast_cd140b,0.00975609756097561,0.013245033112582781,0.7365853658536585,-0.44107536018036714,0.6503496503496503,82,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_fibroblast_cd44,0.014634146341463415,0.011920529801324504,1.2276422764227641,0.2958902339858389,0.6703296703296703,82,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_immune,0.0024390243902439024,0.0026490066225165563,0.9207317073170732,-0.11914726529300472,1.0,82,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_m2_cd140b,0.0,0.0013245033112582781,0.0,,0.6873126873126874,82,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_m2_cd44,0.12195121951219512,0.12582781456953643,0.969191270860077,-0.04514668384922804,0.8251748251748252,82,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_myeloid_cd140b,0.0024390243902439024,0.0013245033112582781,1.8414634146341464,0.8808527347069953,0.8211788211788211,82,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,activated_myeloid_cd44,0.02926829268292683,0.025165562913907286,1.1630295250320926,0.21788772198456607,0.6753246753246753,82,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,endothelial,0.00975609756097561,0.026490066225165563,0.36829268292682926,-1.4410753601803672,0.052947052947052944,82,0.1701869559012416,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,fibroblast,0.11341463414634147,0.0781456953642384,1.451322860686234,0.5373684964531854,0.01898101898101898,82,0.06888273017305276,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,immune_cells,0.30853658536585366,0.10860927152317881,2.840794170136823,1.5062943047832216,0.000999000999000999,82,0.005482322555493287,True
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,m2_macrophage,0.05,0.038410596026490065,1.3017241379310345,0.3804237441975068,0.2597402597402597,82,0.561938061938062,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,myeloid,0.054878048780487805,0.026490066225165563,2.0716463414634148,1.0507777361493076,0.003996003996003996,82,0.01873126873126873,True
roi_IMC_241218_Alun_ROI_D7_M2_02_25,immune_cells,neutrophil,0.2,0.16821192052980133,1.188976377952756,0.24972005255291319,0.12087912087912088,82,0.3237833594976452,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,m2_macrophage,activated_endothelial_cd140b,0.017241379310344827,0.16026490066225166,0.10758050726702764,-3.2165113981897253,0.000999000999000999,29,0.005482322555493287,True
roi_IMC_241218_Alun_ROI_D7_M2_02_25,m2_macrophage,activated_endothelial_cd44,0.03103448275862069,0.2119205298013245,0.14644396551724137,-2.7715793492475433,0.000999000999000999,29,0.005482322555493287,True
roi_IMC_241218_Alun_ROI_D7_M2_02_25,m2_macrophage,activated_fibroblast_cd140b,0.010344827586206896,0.013245033112582781,0.7810344827586206,-0.3565418499686995,0.8361638361638362,29,1.0,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,m2_macrophage,activated_fibroblast_cd44,0.034482758620689655,0.011920529801324504,2.8927203065134095,1.5324268376425565,0.011988011988011988,29,0.050892503722692405,False
roi_IMC_241218_Alun_ROI_D7_M2_02_25,m2_macrophage,activated_immune,0.0,0.0026490066225165563,0.0,,0.7762237762237763,29,1.0,False
