focal_cell_type,neighbor_cell_type,region,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_fibroblast_cd140b,activated_fibroblast_cd140b,Medulla,0.09396709323583181,0.05583043237501707,1.7368878050427832,0.6130897167254269,0.4166666666666667,547.0,12.0,0.4166666666666667
activated_fibroblast_cd140b,activated_fibroblast_cd44,Cortex,0.06839622641509435,0.06323945240943264,1.0804636837551185,0.07973236103335038,0.08333333333333333,424.0,12.0,0.0
activated_fibroblast_cd140b,activated_fibroblast_cd44,Medulla,0.0623400365630713,0.0663481468683522,0.9620848450085624,-0.15030978699644826,0.25,547.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,activated_immune,Cortex,0.016981132075471698,0.015555280190791535,0.9915989117841774,,0.25,424.0,12.0,0.0
activated_fibroblast_cd140b,activated_immune,Medulla,0.01956124314442413,0.016321012020746973,1.151209289211225,-0.025628095559772975,0.08333333333333333,547.0,12.0,0.0
activated_fibroblast_cd140b,activated_m2_cd140b,Cortex,0.03341968911917099,0.01571813145246479,1.7343162846509637,,0.2727272727272727,386.0,11.0,0.2727272727272727
activated_fibroblast_cd140b,activated_m2_cd140b,Medulla,0.02705667276051188,0.018235893593758108,1.4132408251285868,0.430092117080432,0.08333333333333333,547.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,activated_m2_cd44,Cortex,0.06603773584905662,0.09826503074833312,0.685900652107316,-0.6111887492903348,0.3333333333333333,424.0,12.0,0.25
activated_fibroblast_cd140b,activated_m2_cd44,Medulla,0.06325411334552103,0.08738768465103798,0.7314410554577105,-0.5015000932847914,0.5,547.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,activated_myeloid_cd140b,Cortex,0.01325,0.005797901115398091,2.395011408730159,,0.2727272727272727,400.0,11.0,0.09090909090909091
activated_fibroblast_cd140b,activated_myeloid_cd140b,Medulla,0.008226691042047532,0.006838249958797895,1.1548451609329125,,0.0,547.0,12.0,0.0
activated_fibroblast_cd140b,activated_myeloid_cd44,Cortex,0.03820754716981132,0.04053536058671966,1.0199002151437135,-0.2360452022670527,0.08333333333333333,424.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,activated_myeloid_cd44,Medulla,0.03089579524680073,0.034841086215806935,0.8682655025920564,-0.24111020923138132,0.0,547.0,12.0,0.0
activated_fibroblast_cd140b,endothelial,Cortex,0.14811320754716983,0.16679301498355495,0.9000452158890803,-0.16309810855956738,0.25,424.0,12.0,0.0
activated_fibroblast_cd140b,endothelial,Medulla,0.13546617915904935,0.15005072828318572,0.9154217322907885,-0.16056505700025273,0.25,547.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,fibroblast,Cortex,0.07735849056603773,0.053054635376891576,1.4982841465854193,0.5399612956549545,0.3333333333333333,424.0,12.0,0.3333333333333333
activated_fibroblast_cd140b,fibroblast,Medulla,0.09945155393053018,0.06540752980531794,1.5293695276193198,0.568993331984225,0.5833333333333334,547.0,12.0,0.5
activated_fibroblast_cd140b,immune_cells,Cortex,0.06367924528301888,0.05202988026235191,1.231574093162701,0.25142826030091825,0.16666666666666666,424.0,12.0,0.0
activated_fibroblast_cd140b,immune_cells,Medulla,0.061425959780621577,0.05622300713202482,1.0728915571770006,0.02833873536287426,0.16666666666666666,547.0,12.0,0.0
activated_fibroblast_cd140b,m2_macrophage,Cortex,0.01320754716981132,0.01436130418784887,0.9981666919912618,,0.0,424.0,12.0,0.0
activated_fibroblast_cd140b,m2_macrophage,Medulla,0.024862888482632545,0.02688455980062335,1.0221319244469802,-0.12506610463801104,0.16666666666666666,547.0,12.0,0.0
activated_fibroblast_cd140b,myeloid,Cortex,0.011340206185567012,0.011943509796609136,0.9329671903125512,,0.0,388.0,11.0,0.0
