mean_neighbor_lineage_immune,mean_self_lineage_immune,mean_neighbor_lineage_endothelial,mean_self_lineage_endothelial,mean_neighbor_lineage_stromal,mean_self_lineage_stromal,n_superpixels,roi_id,composite_label,timepoint,region
0.36542362765683967,0.8385832103976183,0.3077359025231975,0.1483717157876767,0.23767543503237296,0.04095226600596064,48,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_non_myeloid_immune_cd44,D3,Cortex
0.437451817189431,0.036181165815629024,0.25512672771727557,0.13554303629533662,0.6218654272160004,0.8724889713313232,69,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_stromal_cd140b,D3,Cortex
0.4156439011400665,0.9301803249764931,0.2473421200053891,0.12009897328081898,0.2279481287566541,0.07593167398877179,28,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_m2_macrophage_cd140b,D3,Cortex
0.5806547724665774,0.8302870491091908,0.6357904782357423,0.0002685385555549474,0.6791067505186096,0.320560584903298,1,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_myeloid_cd44,D3,Cortex
0.37403876329116453,0.03233195335370301,0.260331822879436,0.13325345681134235,0.5466630257899722,0.7841381186215467,22,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_stromal_cd44,D3,Cortex
0.399658865883789,0.03186157028186445,0.5734532082475418,0.6769416426747169,0.2930145951991266,0.02162296161240988,124,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_endothelial_cd140b_cd44,D3,Cortex
0.3584909957325984,0.7975961755530787,0.3540030935976707,0.2279179272830693,0.2822152070933885,0.1612234096584644,30,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_m2_macrophage_cd140b_cd44,D3,Cortex
0.35586870673183935,0.633680084427372,0.660620433255378,0.7208741589325605,0.29997579424578225,0.04657988417739971,5,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_neutrophil_cd140b_cd44,D3,Cortex
0.4272180559558866,0.05209275678516927,0.37197871444765906,0.2816783107509375,0.6670852139130949,0.9610244853425989,32,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_stromal_cd140b_cd44,D3,Cortex
0.34966154701481456,0.7833984869532924,0.30275160885885294,0.09129828798749627,0.39001318655163414,0.36110743283379554,6,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_myeloid_cd140b,D3,Cortex
0.3251404204382072,0.6410325265935367,0.1985554966061227,0.007485366686648375,0.26607962235423654,0.002531141293387075,2,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_non_myeloid_immune_cd140b_cd44,D3,Cortex
0.2065586339456547,0.9893737974597998,0.27034371203151847,0.27570923112806905,0.4014618969180927,0.0026383744301584737,1,roi_IMC_241218_Alun_ROI_D3_M2_01_18,myeloid,D3,Cortex
0.32345123645365487,0.6920782347275911,0.34060835723527433,0.011744406130216925,0.6768626542390047,0.48626323445066894,3,roi_IMC_241218_Alun_ROI_D3_M2_01_18,m2_macrophage,D3,Cortex
0.20790087246030434,0.919578526081283,0.5454923321954877,0.40184596855826443,0.41283208726764853,0.01362244381016297,1,roi_IMC_241218_Alun_ROI_D3_M2_01_18,neutrophil,D3,Cortex
0.4650686410006826,0.3457519111195509,0.42469690261380777,0.06756020597042356,0.2876512595253649,0.9605596459254254,1,roi_IMC_241218_Alun_ROI_D3_M2_01_18,activated_m2_macrophage_cd44,D3,Cortex
