region,timepoint,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
Medulla,D1,endothelial,stromal,0.09546266811575702,1.0684079884561284,0.07065902591385323,0.12026631031766082,"[0.12026631031766082, 0.07065902591385323]",176,3,2,2,0,False,False
Medulla,D1,immune,endothelial,-0.23152825753957657,0.8517321675292282,-0.35500692157465796,-0.10804959350449518,"[-0.10804959350449518, -0.35500692157465796]",637,3,2,2,0,False,False
Medulla,D1,immune,immune,0.06835570556917243,1.0485209631118646,0.04888798157800512,0.08782342956033976,"[0.04888798157800512, 0.08782342956033976]",637,3,2,2,0,False,False
Medulla,D1,immune,stromal,-0.07867710092244987,0.9469255451628695,-0.0791932700413518,-0.07816093180354793,"[-0.07816093180354793, -0.0791932700413518]",637,3,2,2,0,False,False
Medulla,D1,stromal,endothelial,0.08668170220558837,1.0619248711172853,0.0068034418195810145,0.16655996259159572,"[0.16655996259159572, 0.0068034418195810145]",122,3,2,2,0,False,False
Medulla,D1,stromal,immune,-0.12690586669468706,0.9157934383743885,-0.18103811244385043,-0.0727736209455237,"[-0.18103811244385043, -0.0727736209455237]",122,3,2,2,0,False,False
Medulla,D1,stromal,stromal,0.4134027383403098,1.3318233490851639,0.3690142164245781,0.45779126025604155,"[0.45779126025604155, 0.3690142164245781]",122,3,2,2,0,False,False
Medulla,D3,endothelial,endothelial,0.6843848346916976,1.6070166033352298,0.5053037855717402,0.8634658838116551,"[0.5053037855717402, 0.8634658838116551]",286,3,2,2,0,False,False
Medulla,D3,endothelial,immune,-0.5470104925495911,0.6844369286993696,-0.8218609641976979,-0.2721600209014843,"[-0.2721600209014843, -0.8218609641976979]",286,3,2,2,0,False,False
Medulla,D3,endothelial,stromal,0.25191896361747734,1.19078996064753,-0.03601827924208904,0.5398562064770437,"[-0.03601827924208904, 0.5398562064770437]",286,3,2,2,0,False,False
Medulla,D3,immune,endothelial,-0.650038079445811,0.6372634930840956,-0.917018197238038,-0.38305796165358413,"[-0.38305796165358413, -0.917018197238038]",676,3,2,2,0,False,False
