focal_cell_type,neighbor_cell_type,region,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
activated_m2_cd44,activated_m2_cd44,Cortex,1.3701535756840624,0.4543376088502056,159,12,2,False,False
activated_m2_cd44,activated_myeloid_cd140b,Cortex,,,135,9,1,False,True
activated_m2_cd44,activated_myeloid_cd44,Cortex,1.4324097494014127,0.5184442432106192,159,12,2,False,False
activated_m2_cd44,endothelial,Cortex,0.6540900607290444,-0.6124388028615415,159,12,2,False,False
activated_m2_cd44,fibroblast,Cortex,0.7401149462959515,-0.434178743641911,159,12,2,False,False
activated_m2_cd44,immune_cells,Cortex,1.0548280897607971,0.0770078953699206,159,12,2,False,False
activated_m2_cd44,m2_macrophage,Cortex,1.7678998063514677,0.8220365139963932,159,12,2,False,False
activated_m2_cd44,myeloid,Cortex,1.329310441048554,0.4106780643283158,153,11,2,False,False
activated_m2_cd44,neutrophil,Cortex,1.0827709081368473,0.1147280308899978,159,12,2,False,False
activated_myeloid_cd140b,activated_endothelial_cd140b,Cortex,,,13,9,2,True,False
activated_myeloid_cd140b,activated_endothelial_cd44,Cortex,,,13,9,1,True,True
activated_myeloid_cd140b,activated_fibroblast_cd140b,Cortex,,,13,9,2,True,False
activated_myeloid_cd140b,activated_fibroblast_cd44,Cortex,,,12,8,1,True,True
activated_myeloid_cd140b,activated_immune,Cortex,,,6,6,2,True,False
activated_myeloid_cd140b,activated_m2_cd140b,Cortex,,,12,8,2,True,False
activated_myeloid_cd140b,activated_m2_cd44,Cortex,,,13,9,1,True,True
activated_myeloid_cd140b,activated_myeloid_cd140b,Cortex,,,13,9,0,True,True
activated_myeloid_cd140b,activated_myeloid_cd44,Cortex,,,13,9,1,True,True
activated_myeloid_cd140b,endothelial,Cortex,,,13,9,2,True,False
activated_myeloid_cd140b,fibroblast,Cortex,,,13,9,2,True,False
activated_myeloid_cd140b,immune_cells,Cortex,,,13,9,2,True,False
activated_myeloid_cd140b,m2_macrophage,Cortex,,,13,9,1,True,True
activated_myeloid_cd140b,myeloid,Cortex,,,12,8,2,True,False
activated_myeloid_cd140b,neutrophil,Cortex,,,13,9,2,True,False
activated_myeloid_cd44,activated_endothelial_cd140b,Cortex,0.6943521486808264,-0.5262605670928557,94,12,2,False,False
activated_myeloid_cd44,activated_endothelial_cd44,Cortex,1.4887314872298392,0.5740835679061713,94,12,2,False,False
activated_myeloid_cd44,activated_fibroblast_cd140b,Cortex,0.8487206230620664,-0.2366383609599223,94,12,2,False,False
activated_myeloid_cd44,activated_fibroblast_cd44,Cortex,1.2650553371235862,0.3392004938900621,81,11,2,False,False
activated_myeloid_cd44,activated_immune,Cortex,1.480500516008112,0.5660849933470875,74,7,2,False,False
