cell_type,comparison,timepoint_1,timepoint_2,n_mice_1,n_mice_2,mean_1,mean_2,std_1,std_2,fold_change,log2_fc,u_statistic,p_value_raw,hedges_g,bootstrap_range_min,bootstrap_range_max,hedges_g_clr,p_value_fdr,significant_fdr
activated_immune,Sham_vs_D1,Sham,D1,2,2,0.007199843488379947,0.006943148070231992,0.0029403178179137454,0.0012012428772893138,0.964352034791176,-0.05236819932830102,2.0,1.0,0.06531046435313048,-1.2260138346927174,1.5713914894127121,0.05128977539411337,1.0,False
activated_immune,Sham_vs_D3,Sham,D3,2,2,0.007199843488379947,0.0032438476494814532,0.0029403178179137454,0.0012078125061540594,0.4506204939348685,-1.150015166964576,4.0,0.3333333333333333,1.0057269566416824,0.8525434972041432,4.037968638101977,1.442137957388279,0.5,False
activated_immune,Sham_vs_D7,Sham,D7,2,2,0.007199843488379947,0.003534362532775436,0.0029403178179137454,0.0010117981699490127,0.490965056868751,-1.0263077466734702,4.0,0.3333333333333333,0.9526043183195279,0.8107917906346476,4.588205117943255,1.2145460426804213,0.5,False
activated_immune,D1_vs_D3,D1,D3,2,2,0.006943148070231992,0.0032438476494814532,0.0012012428772893138,0.0012078125061540594,0.4672780039629899,-1.097646967636275,4.0,0.3333333333333333,1.7549435425824254,1.7549435425824254,3.0632146345924363,1.6812720536280026,0.5,False
activated_immune,D1_vs_D7,D1,D7,2,2,0.006943148070231992,0.003534362532775436,0.0012012428772893138,0.0010117981699490127,0.5091139326263424,-0.9739395473451693,4.0,0.3333333333333333,1.7539479509295755,1.7539479509295755,3.4010134739393725,1.3333826148462904,0.5,False
activated_immune,D3_vs_D7,D3,D7,2,2,0.0032438476494814532,0.003534362532775436,0.0012078125061540594,0.0010117981699490127,1.0895311320210699,0.12370742029110549,1.0,0.6666666666666666,-0.14900355568009224,-0.9141645846854534,0.4500967777954784,-0.010506986030931295,0.7792207792207793,False
immune_cells,Sham_vs_D1,Sham,D1,2,2,0.0201013105668958,0.023697421817780596,0.0018030463670868592,0.0008427307880846226,1.1788904434103622,0.23742965208137304,0.0,0.3333333333333333,-1.4601526181126399,-4.671015951808251,-1.3446888213099528,-4.907408464748828,0.5,False
immune_cells,Sham_vs_D3,Sham,D3,2,2,0.0201013105668958,0.01707768318209972,0.0018030463670868592,0.002122757297152044,0.8495880672654941,-0.23516459171350731,4.0,0.3333333333333333,0.8773163661843049,0.6657132727116778,2.027936803939455,0.5232574247034405,0.5,False
immune_cells,Sham_vs_D7,Sham,D7,2,2,0.0201013105668958,0.011201015938883554,0.0018030463670868592,9.211091707662815e-05,0.5572501679150692,-0.8436029486778822,4.0,0.3333333333333333,3.9839003167309217,3.959903379733065,89.27102979035585,6.143504747994397,0.5,False
immune_cells,D1_vs_D3,D1,D3,2,2,0.023697421817780596,0.01707768318209972,0.0008427307880846226,0.002122757297152044,0.7206675327757827,-0.47259424379488024,4.0,0.3333333333333333,2.3422690123349086,2.293242010228808,7.787256528742227,1.010858938867009,0.5,False
immune_cells,D1_vs_D7,D1,D7,2,2,0.023697421817780596,0.011201015938883554,0.0008427307880846226,9.211091707662815e-05,0.47269037681145654,-1.0810326007592552,4.0,0.3333333333333333,11.912266813127394,11.912266813127394,114.86349005289283,7.222714749915241,0.5,False
immune_cells,D3_vs_D7,D3,D7,2,2,0.01707768318209972,0.011201015938883554,0.002122757297152044,9.211091707662815e-05,0.6559063025786707,-0.608438356964375,4.0,0.3333333333333333,2.2351116907788238,2.21241942822194,64.72705575407966,1.6782186505441519,0.5,False
activated_endothelial_cd44,Sham_vs_D1,Sham,D1,2,2,0.055614240557888064,0.06024567164541597,0.00819213826320738,0.0035039863211900873,1.0832762933517694,0.11540125422145289,1.0,0.6666666666666666,-0.42006050923954164,-2.404114231877609,0.2678264868293121,-0.36017854807378014,0.7792207792207793,False
activated_endothelial_cd44,Sham_vs_D3,Sham,D3,2,2,0.055614240557888064,0.04384934220560748,0.00819213826320738,0.0019561909753999305,0.7884590944089348,-0.3428921855585662,4.0,0.3333333333333333,1.1288239950727539,1.024109935830663,7.2532261157950675,1.9889453185805968,0.5,False
activated_endothelial_cd44,Sham_vs_D7,Sham,D7,2,2,0.055614240557888064,0.03538449955632908,0.00819213826320738,0.01031772337134773,0.6362554436764053,-0.6523220002312773,4.0,0.3333333333333333,1.240892794121721,1.1307608465637418,2.715279050534614,2.103793792159035,0.5,False
activated_endothelial_cd44,D1_vs_D3,D1,D3,2,2,0.06024567164541597,0.04384934220560748,0.0035039863211900873,0.0019561909753999305,0.7278467176359601,-0.4582934397800191,4.0,0.3333333333333333,3.301783322215667,3.301783322215667,7.797047023313111,1.6963782186804668,0.5,False
activated_endothelial_cd44,D1_vs_D7,D1,D7,2,2,0.06024567164541597,0.03538449955632908,0.0035039863211900873,0.01031772337134773,0.5873436422279351,-0.76772325445273,4.0,0.3333333333333333,1.8437932230055145,1.7531564326954356,7.416325448077537,2.113820533316678,0.5,False
activated_endothelial_cd44,D3_vs_D7,D3,D7,2,2,0.04384934220560748,0.03538449955632908,0.0019561909753999305,0.01031772337134773,0.8069606250827402,-0.309429814672711,3.0,0.6666666666666666,0.6513933604409631,0.4829712224004881,6.5108509137266894,1.2713470783340732,0.7792207792207793,False
activated_endothelial_cd140b,Sham_vs_D1,Sham,D1,2,2,0.029137838939275934,0.033808041218126084,0.0002477843481485874,0.0011882258342965511,1.1602741375036476,0.21446571060406905,0.0,0.3333333333333333,-3.1093551541528974,-17.971593430911383,-3.057080742995966,-1.0344384334230972,0.5,False
activated_endothelial_cd140b,Sham_vs_D3,Sham,D3,2,2,0.029137838939275934,0.030989772634797404,0.0002477843481485874,0.0001351657469209976,1.0635555074579608,0.08889533019052794,0.0,0.3333333333333333,-5.302290601923251,-12.119782720845636,-5.302290601923251,-0.4297145457597862,0.5,False
activated_endothelial_cd140b,Sham_vs_D7,Sham,D7,2,2,0.029137838939275934,0.039314394902597805,0.0002477843481485874,0.01000610575219522,1.3492437013200618,0.4321509523870593,0.0,0.3333333333333333,-0.8216362035975738,-56.2653530806629,-0.8077376219059028,-0.4517856904343923,0.5,False
activated_endothelial_cd140b,D1_vs_D3,D1,D3,2,2,0.033808041218126084,0.030989772634797404,0.0011882258342965511,0.0001351657469209976,0.9166415703673455,-0.12557038041354096,4.0,0.3333333333333333,1.9044451571403145,1.8517249089927992,21.873079555424976,0.3278065948158395,0.5,False
activated_endothelial_cd140b,D1_vs_D7,D1,D7,2,2,0.033808041218126084,0.039314394902597805,0.0011882258342965511,0.01000610575219522,1.1628663069427592,0.21768524178299037,2.0,1.0,-0.4416062734299522,-8.556942771757134,1.0671110915812958,-0.1853836566748021,1.0,False
activated_endothelial_cd140b,D3_vs_D7,D3,D7,2,2,0.030989772634797404,0.039314394902597805,0.0001351657469209976,0.01000610575219522,1.268616157651173,0.3432556221965313,0.0,0.3333333333333333,-0.6722592346040301,-92.07277503388302,-0.6646015231125822,-0.27756039822965534,0.5,False
endothelial,Sham_vs_D1,Sham,D1,2,2,0.038281466764574765,0.044756196930495346,0.002601332355887956,0.010112695643537095,1.1691304326269818,0.22543589138111383,1.0,0.6666666666666666,-0.5010932590007177,-4.232852185100609,0.21001203545824887,-0.4209314306301422,0.7792207792207793,False
