roi_id,timepoint,region,replicate,mouse,n_total,n_assigned,assignment_rate,neutrophil_count,neutrophil_prop,activated_m2_cd44_count,activated_m2_cd44_prop,activated_m2_cd140b_count,activated_m2_cd140b_prop,m2_macrophage_count,m2_macrophage_prop,activated_myeloid_cd44_count,activated_myeloid_cd44_prop,activated_myeloid_cd140b_count,activated_myeloid_cd140b_prop,myeloid_count,myeloid_prop,activated_immune_count,activated_immune_prop,immune_cells_count,immune_cells_prop,activated_endothelial_cd44_count,activated_endothelial_cd44_prop,activated_endothelial_cd140b_count,activated_endothelial_cd140b_prop,endothelial_count,endothelial_prop,activated_fibroblast_cd44_count,activated_fibroblast_cd44_prop,activated_fibroblast_cd140b_count,activated_fibroblast_cd140b_prop,fibroblast_count,fibroblast_prop,unassigned_count,unassigned_prop,lineage_immune_mean,lineage_endothelial_mean,lineage_stromal_mean,subtype_m2_macrophage_count,subtype_m2_macrophage_prop,subtype_myeloid_count,subtype_myeloid_prop,subtype_neutrophil_count,subtype_neutrophil_prop,subtype_non_myeloid_immune_count,subtype_non_myeloid_immune_prop,subtype_none_count,subtype_none_prop,mixed_fraction
roi_IMC_241218_Alun_ROI_D3_M2_02_19,D3,Medulla,D3_MS2_02,MS2,2328,644,0.2766323024054983,102,0.04381443298969072,17,0.007302405498281787,4,0.001718213058419244,2,0.000859106529209622,18,0.007731958762886598,8,0.003436426116838488,8,0.003436426116838488,5,0.002147766323024055,114,0.04896907216494845,89,0.03823024054982818,75,0.03221649484536082,53,0.02276632302405498,62,0.02663230240549828,8,0.003436426116838488,79,0.033934707903780066,1684,0.7233676975945017,0.40339476246298084,0.40555987960014944,0.4097486257245851,218,0.0936426116838488,104,0.044673539518900345,341,0.14647766323024056,369,0.15850515463917525,1296,0.5567010309278351,0.4879725085910653
roi_IMC_241218_Alun_ROI_D3_M2_03_20,D3,Cortex,D3_MS2_03,MS2,2364,469,0.19839255499153977,13,0.005499153976311337,52,0.021996615905245348,13,0.005499153976311337,6,0.0025380710659898475,12,0.005076142131979695,4,0.001692047377326565,8,0.00338409475465313,15,0.006345177664974619,69,0.02918781725888325,70,0.02961082910321489,29,0.012267343485617596,48,0.02030456852791878,45,0.01903553299492386,11,0.004653130287648054,74,0.031302876480541454,1895,0.8016074450084603,0.4117961390742401,0.41583554288336233,0.4046559234906028,319,0.13494077834179358,58,0.024534686971235193,332,0.1404399323181049,327,0.1383248730964467,1328,0.5617597292724196,0.4847715736040609
roi_IMC_241218_Alun_ROI_D7_M1_01_21,D7,Cortex,D7_MS1_01,MS1,2375,378,0.1591578947368421,52,0.021894736842105262,8,0.003368421052631579,7,0.0029473684210526317,9,0.003789473684210526,3,0.0012631578947368421,15,0.00631578947368421,9,0.003789473684210526,11,0.0046315789473684215,46,0.01936842105263158,85,0.035789473684210524,25,0.010526315789473684,30,0.01263157894736842,26,0.010947368421052631,15,0.00631578947368421,37,0.015578947368421053,1997,0.840842105263158,0.40914761734006444,0.40886379931006817,0.4061339586130291,182,0.07663157894736843,110,0.04631578947368421,314,0.13221052631578947,442,0.18610526315789475,1327,0.5587368421052632,0.4711578947368421
roi_IMC_241218_Alun_ROI_D7_M1_02_22,D7,Medulla,D7_MS1_02,MS1,2457,421,0.17134717134717134,13,0.005291005291005291,23,0.009361009361009361,4,0.001628001628001628,7,0.002849002849002849,12,0.004884004884004884,5,0.002035002035002035,9,0.003663003663003663,18,0.007326007326007326,22,0.008954008954008955,53,0.02157102157102157,10,0.00407000407000407,32,0.013024013024013023,124,0.05046805046805047,9,0.003663003663003663,80,0.03256003256003256,2036,0.8286528286528286,0.4075274368427534,0.41261116846958035,0.4037749272277307,221,0.08994708994708994,91,0.037037037037037035,498,0.2026862026862027,263,0.10704110704110704,1384,0.5632885632885632,0.505901505901506
roi_IMC_241218_Alun_ROI_D7_M1_03_23,D7,Cortex,D7_MS1_03,MS1,2416,425,0.17591059602649006,49,0.020281456953642384,10,0.0041390728476821195,7,0.0028973509933774835,8,0.0033112582781456954,56,0.023178807947019868,0,0.0,9,0.0037251655629139072,7,0.0028973509933774835,61,0.025248344370860928,30,0.012417218543046357,72,0.029801324503311258,33,0.013658940397350994,16,0.006622516556291391,23,0.009519867549668874,44,0.018211920529801324,1991,0.8240894039735099,0.4146377736726883,0.4171915634086053,0.41487373880103384,388,0.1605960264900662,93,0.03849337748344371,321,0.13286423841059603,250,0.10347682119205298,1364,0.5645695364238411,0.5107615894039735
roi_IMC_241218_Alun_ROI_D7_M2_01_24,D7,Medulla,D7_MS2_01,MS2,2490,647,0.25983935742971886,125,0.050200803212851405,18,0.007228915662650603,6,0.0024096385542168677,27,0.010843373493975903,3,0.0012048192771084338,3,0.0012048192771084338,14,0.005622489959839358,9,0.0036144578313253013,102,0.04096385542168675,120,0.04819277108433735,65,0.02610441767068273,54,0.021686746987951807,47,0.01887550200803213,4,0.001606425702811245,50,0.020080321285140562,1843,0.7401606425702811,0.4148746046037122,0.40764883668761165,0.4107327820254349,325,0.13052208835341367,83,0.03333333333333333,321,0.12891566265060242,390,0.1566265060240964,1371,0.5506024096385542,0.4570281124497992
roi_IMC_241218_Alun_ROI_D7_M2_02_25,D7,Cortex,D7_MS2_02,MS2,2478,755,0.304681194511703,127,0.05125100887812752,95,0.03833736884584342,1,0.0004035512510088781,29,0.011702986279257466,19,0.007667473769168685,1,0.0004035512510088781,20,0.008071025020177562,2,0.0008071025020177562,82,0.033091202582728005,160,0.0645682001614205,121,0.048829701372074256,20,0.008071025020177562,9,0.0036319612590799033,10,0.004035512510088781,59,0.023809523809523808,1723,0.695318805488297,0.4090643813753692,0.4102101729509476,0.40794114913413104,338,0.13640032284100082,71,0.028652138821630348,459,0.18523002421307505,229,0.0924132364810331,1381,0.5573042776432607,0.4652945924132365
roi_IMC_241218_Alun_ROI_D7_M2_03_26,D7,Medulla,D7_MS2_03,MS2,2480,656,0.2645161290322581,53,0.021370967741935483,14,0.00564516129032258,3,0.0012096774193548388,11,0.004435483870967742,7,0.00282258064516129,0,0.0,15,0.006048387096774193,21,0.008467741935483872,94,0.03790322580645161,90,0.036290322580645164,50,0.020161290322580645,53,0.021370967741935483,137,0.05524193548387097,29,0.011693548387096775,79,0.03185483870967742,1824,0.7354838709677419,0.4088108413228969,0.4063755015525487,0.4066145946157398,205,0.08266129032258064,65,0.02620967741935484,302,0.1217741935483871,538,0.21693548387096775,1370,0.5524193548387096,0.46774193548387094
roi_IMC_241218_Alun_ROI_Sam1_01_2,Sham,Cortex,Sam1,MS1,2343,548,0.23388817755014937,64,0.02731540759709774,7,0.002987622705932565,1,0.0004268032437046522,6,0.002560819462227913,3,0.0012804097311139564,2,0.0008536064874093043,8,0.0034144259496372174,5,0.002134016218523261,86,0.03670507895860008,59,0.025181391378574478,83,0.035424669227486126,19,0.00810926163038839,80,0.034144259496372176,19,0.00810926163038839,106,0.04524114383269313,1795,0.7661118224498507,0.413332767308726,0.40583506485409926,0.40569255054031156,256,0.10926163038839096,74,0.03158344003414426,369,0.15749039692701663,358,0.15279556124626548,1286,0.5488689714041827,0.4647887323943662
roi_IMC_241218_Alun_ROI_Sam1_02_3,Sham,Cortex,Sam1,MS1,2444,786,0.32160392798690673,96,0.03927986906710311,39,0.015957446808510637,3,0.0012274959083469722,0,0.0,9,0.0036824877250409165,9,0.0036824877250409165,10,0.004091653027823241,38,0.015548281505728314,64,0.02618657937806874,171,0.06996726677577741,32,0.01309328968903437,152,0.062193126022913256,40,0.016366612111292964,50,0.020458265139116204,73,0.029869067103109655,1658,0.6783960720130933,0.41606964892221565,0.40954610106613304,0.4042712494112828,270,0.1104746317512275,80,0.03273322422258593,324,0.132569558101473,413,0.16898527004909983,1357,0.5552373158756138,0.44762684124386254
roi_IMC_241218_Alun_ROI_Sam1_03_4,Sham,Medulla,Sam1,MS1,2440,563,0.23073770491803278,93,0.038114754098360654,21,0.00860655737704918,1,0.0004098360655737705,2,0.000819672131147541,20,0.00819672131147541,0,0.0,8,0.003278688524590164,12,0.004918032786885246,76,0.03114754098360656,91,0.037295081967213116,51,0.020901639344262295,71,0.029098360655737704,28,0.011475409836065573,38,0.01557377049180328,51,0.020901639344262295,1877,0.7692622950819672,0.41251161670735503,0.40755544573050745,0.41213755359696813,164,0.06721311475409836,72,0.029508196721311476,451,0.1848360655737705,384,0.15737704918032788,1369,0.5610655737704918,0.4540983606557377
roi_IMC_241218_Alun_ROI_Sam2_01_6,Sham,Medulla,Sam2,MS2,2471,668,0.27033589639821937,65,0.026305139619587213,11,0.004451639012545528,3,0.0012140833670578712,1,0.0004046944556859571,14,0.0056657223796034,2,0.0008093889113719142,11,0.004451639012545528,37,0.014973694860380412,68,0.027519222986645085,57,0.023067583974099554,55,0.02225819506272764,76,0.03075677863213274,57,0.023067583974099554,61,0.024686361796843383,150,0.060704168352893564,1803,0.7296641036017807,0.4066552502155924,0.4083060893923185,0.40399889696587227,229,0.09267503035208417,89,0.036017806556050184,286,0.11574261432618373,511,0.20679886685552407,1356,0.5487656819101578,0.4989882638607851
roi_IMC_241218_Alun_ROI_Sam2_02_7,Sham,Medulla,Sam2,MS2,2465,632,0.2563894523326572,35,0.014198782961460446,45,0.018255578093306288,19,0.007707910750507099,20,0.008113590263691683,16,0.006490872210953347,2,0.0008113590263691683,9,0.0036511156186612576,16,0.006490872210953347,81,0.03286004056795132,83,0.033671399594320486,87,0.03529411764705882,46,0.018661257606490872,75,0.030425963488843813,22,0.008924949290060852,76,0.030831643002028397,1833,0.7436105476673428,0.40732711610520234,0.4054290375835061,0.40605223192199846,341,0.13833671399594322,67,0.02718052738336714,251,0.10182555780933063,436,0.1768762677484787,1370,0.5557809330628803,0.5058823529411764
roi_IMC_241218_Alun_ROI_Sam2_03_8,Sham,Cortex,Sam2,MS2,2412,554,0.2296849087893864,92,0.03814262023217247,8,0.003316749585406302,3,0.0012437810945273632,10,0.0041459369817578775,2,0.0008291873963515755,10,0.0041459369817578775,16,0.006633499170812604,7,0.002902155887230514,66,0.02736318407960199,108,0.04477611940298507,29,0.012023217247097845,40,0.01658374792703151,104,0.04311774461028192,20,0.008291873963515755,39,0.01616915422885572,1858,0.7703150912106136,0.4086147798091931,0.41402562541685634,0.41149102468234666,258,0.10696517412935323,84,0.03482587064676617,327,0.13557213930348258,403,0.16708126036484244,1340,0.5555555555555556,0.49543946932006633
