cell_type,timepoint,n_mice_cortex,n_mice_medulla,mean_cortex,mean_medulla,std_cortex,std_medulla,fold_change,u_statistic,p_value_raw,hedges_g,bootstrap_range_min,bootstrap_range_max,p_value_fdr,significant_fdr
activated_immune,D3,2,2,0.0,0.00020496252113899174,0.0,0.0002898607771729443,205.96252113899175,1.0,0.6170750774519738,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714,1.0,False
immune_cells,D3,2,2,0.009172917214862648,0.009942173166096756,0.0054284441078819605,0.0013032750270748762,1.0838525063195292,2.0,1.0,-0.11135342498036604,-2.8571258326380526,1.9031404153986617,1.0,False
activated_endothelial_cd44,D3,2,2,0.002891728936231847,0.004423410588131631,0.0017135698919068423,0.001034113385108648,1.5294936669368673,1.0,0.6666666666666666,-0.6184514097862039,-2.143835020209912,-0.2500720934831458,1.0,False
activated_endothelial_cd140b,D3,2,2,0.004788123118386701,0.005148808135466717,0.0015486456973252502,0.0006157263881209535,1.0753133732760496,2.0,1.0,-0.17489769180416118,-1.9106179812918214,0.9638418942129251,1.0,False
endothelial,D3,2,2,0.02526824624572828,0.02860982739886621,0.00846016332859855,0.007656483086078785,1.1322390514003882,1.0,0.6666666666666666,-0.23666278978626115,-0.9841051464411107,0.278714607893213,1.0,False
activated_fibroblast_cd44,D3,2,2,0.0010403600997939096,0.0006141734082910553,0.00031067292843384506,0.0008685723636541188,0.5907403293181689,3.0,0.6666666666666666,0.3733605962681694,-0.48899081426350555,2.7061833996422866,1.0,False
activated_fibroblast_cd140b,D3,2,2,0.004782948939050653,0.007634944102121179,0.0003807098682875322,0.0010777606561280448,1.5961591980612753,0.0,0.3333333333333333,-2.0163675108756163,-7.67152000033892,-1.9366188854538715,0.9374999999999999,False
fibroblast,D3,2,2,0.0037592728287528456,0.0076269705969524045,0.0029951777501898867,0.0077487649952020995,2.028568389672497,1.0,0.6666666666666666,-0.3762352367069559,-2.5218661913302944,0.434796872331514,1.0,False
neutrophil,D7,2,2,0.07488480243430443,0.06846796724492993,0.008809134891943233,0.018288771228372278,0.9143117255770367,2.0,1.0,0.25545067823953266,-0.5976909838687042,1.7750111133079174,1.0,False
activated_m2_cd44,D7,2,2,0.0058473036052922745,0.004147484221813798,0.00029127872242333986,0.0001095734815040436,0.7093483002591952,4.0,0.3333333333333333,4.413983614277652,4.413983614277652,14.055467285531453,0.9374999999999999,False
activated_m2_cd140b,D7,2,2,0.002652726882589795,0.0027310737692587675,0.0013848465359742727,0.00040880859149908645,1.0295233421280012,2.0,1.0,-0.04384837842612769,-2.0905987325430737,1.7808506163943627,1.0,False
m2_macrophage,D7,2,2,0.0032685907860908305,0.009491964668315232,0.0016552987556458425,0.0030631262490134247,2.903410637410425,0.0,0.3333333333333333,-1.4444488022597453,-4.095697772814988,-1.333069627264621,0.9374999999999999,False
activated_myeloid_cd44,D7,2,2,0.002142126136983496,0.002231220956930246,0.0009655297307897459,0.0014492610258289322,1.0415723640383356,2.0,1.0,-0.04134485443924893,-0.9322847512326408,0.7831448853859145,1.0,False
activated_myeloid_cd140b,D7,2,2,0.0008228175458851416,0.0009102229746905223,2.2224428170544548e-05,0.00013607868464822877,1.1060980422691398,1.0,0.6666666666666666,-0.5122819633605094,-6.67704474931948,0.32059296479509464,1.0,False
myeloid,D7,2,2,0.0012385111673560373,0.007068031470479974,0.000610103985446673,0.002513094523705143,5.703080098551033,0.0,0.3333333333333333,-1.821653723887667,-10.075360880032507,-1.735841180743701,0.9374999999999999,False
activated_immune,D7,2,2,0.00031043046357615895,0.0006105006105006105,0.00043901497176317107,0.0008633782432070177,1.963522140636928,1.5,1.0,-0.250358406292355,-1.6761439618582472,0.5714285714285714,1.0,False
immune_cells,D7,2,2,0.004631471835385973,0.006777882533323652,0.0008428137604580082,0.0007751655156861922,1.463340258550939,0.0,0.3333333333333333,-1.5147904278395263,-2.8589631514989806,-1.5147904278395263,0.9374999999999999,False
activated_endothelial_cd44,D7,2,2,0.0010315575249719316,0.0032320041914872854,0.00031742733760455906,0.0016928166838912828,3.1310644814439463,0.0,0.3333333333333333,-1.0324613096403625,-8.64939132070692,-0.9433049689320862,0.9374999999999999,False
activated_endothelial_cd140b,D7,2,2,0.0074615086093277865,0.010047507668232503,0.0025741093315808784,0.007662927215449038,1.3465321374198935,2.0,1.0,-0.2585200143176985,-2.5129540132478625,0.8892445631396702,1.0,False
endothelial,D7,2,2,0.04531867333897658,0.03677875124508432,0.003253220505410705,0.01187698117937471,0.811562584972394,3.0,0.6666666666666666,0.5604220294211707,0.03518139589180991,4.207567729327459,1.0,False
activated_fibroblast_cd44,D7,2,2,0.0016402760816622316,0.0023189473004863598,3.687007156538805e-05,0.0015527302363622518,1.4135021684692999,2.0,1.0,-0.35311646581747536,-38.94008139148438,9.189709688789122,1.0,False
activated_fibroblast_cd140b,D7,2,2,0.0034842951187599707,0.004036431578454509,0.000779539110633121,0.002830448804484681,1.158418854323872,2.0,1.0,-0.15198190013953164,-2.647196181000826,1.5024335034797383,1.0,False
fibroblast,D7,2,2,0.0035034018428043395,0.009602612466487321,0.0009596048345110986,0.00034167838847838796,2.7404427052812492,0.0,0.3333333333333333,-4.838810571356741,-16.03043186059065,-4.838810571356741,0.9374999999999999,False
