k,scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
20,10.0,Medulla,Sham,immune+stromal,1.5041226371229843,0.5889222004970267,652,3,2,False,False,"[0.7800686025153404, 0.397775798478713]"
20,10.0,Medulla,Sham,none,1.3373616519962008,0.41938965465211214,1705,3,2,False,False,"[0.5860010109555216, 0.2527782983487027]"
20,10.0,Medulla,Sham,stromal,1.6064414291451803,0.6838683811067399,546,3,2,False,False,"[0.9854171554605148, 0.382319606752965]"
20,10.0,Pooled,D1,endothelial,1.257247190041963,0.3302683289847582,2115,6,2,False,False,"[0.22488892170787686, 0.4356477362616396]"
20,10.0,Pooled,D1,endothelial+immune,1.3114350476051908,0.39114635596859926,1249,6,2,False,False,"[0.2703034077035688, 0.5119893042336298]"
20,10.0,Pooled,D1,endothelial+immune+stromal,1.2489337652673878,0.3206969684958664,3665,6,2,False,False,"[0.36137201085841325, 0.28002192613331944]"
20,10.0,Pooled,D1,endothelial+stromal,1.3354602129954467,0.4173369947905358,1932,6,2,False,False,"[0.40593459854555264, 0.428739391035519]"
20,10.0,Pooled,D1,immune,1.3949041278617498,0.48016596864120675,874,6,2,False,False,"[0.5063151851147388, 0.45401675216767473]"
20,10.0,Pooled,D1,immune+stromal,2.0229990981429617,1.0164956767400086,915,6,2,False,False,"[0.8261163424152884, 1.2068750110647288]"
20,10.0,Pooled,D1,none,1.3060356369197537,0.3851942632748153,2891,6,2,False,False,"[0.36043061345340127, 0.40995791309622936]"
20,10.0,Pooled,D1,stromal,1.4905977006557656,0.5758909393224618,819,6,2,False,False,"[0.5741637360827436, 0.57761814256218]"
20,10.0,Pooled,D3,endothelial,1.407378074648249,0.49300994275344256,2044,6,2,False,False,"[0.5185613024134179, 0.4674585830934673]"
20,10.0,Pooled,D3,endothelial+immune,1.5520498004705252,0.6341748498827573,1330,6,2,False,False,"[0.5837877511429754, 0.6845619486225392]"
20,10.0,Pooled,D3,endothelial+immune+stromal,1.1547030766912934,0.207521921029794,4571,6,2,False,False,"[0.2045868561198366, 0.21045698593975137]"
20,10.0,Pooled,D3,endothelial+stromal,1.4266209962447578,0.512602111644166,1548,6,2,False,False,"[0.6246537200873733, 0.4005505032009587]"
20,10.0,Pooled,D3,immune,1.9903218176534556,0.9930017208168109,668,6,2,False,False,"[1.0622339500383366, 0.9237694915952853]"
20,10.0,Pooled,D3,immune+stromal,2.143794120976501,1.1001663633945937,1036,6,2,False,False,"[0.9508907203707667, 1.2494420064184206]"
20,10.0,Pooled,D3,none,1.3396334474038425,0.42183830220926033,2540,6,2,False,False,"[0.4338870719894195, 0.4097895324291012]"
20,10.0,Pooled,D3,stromal,1.9037968666619576,0.9288795526513914,669,6,2,False,False,"[1.1028927207188512, 0.7548663845839316]"
20,10.0,Pooled,D7,endothelial,2.104178222681273,1.0732569052429244,1660,6,2,False,False,"[0.8509147373591839, 1.2955990731266651]"
20,10.0,Pooled,D7,endothelial+immune,1.7359661575073304,0.7957388228559775,1559,6,2,False,False,"[0.6363165529902147, 0.9551610927217403]"
20,10.0,Pooled,D7,endothelial+immune+stromal,1.2737457156279113,0.3490772937490786,5643,6,2,False,False,"[0.27588239010074594, 0.42227219739741123]"
20,10.0,Pooled,D7,endothelial+stromal,2.627010897425293,1.3934221851037565,864,6,2,False,False,"[1.0251672264798863, 1.7616771437276268]"
20,10.0,Pooled,D7,immune,1.9816038416599313,0.9866685705975795,710,6,2,False,False,"[0.6564260586691405, 1.3169110825260184]"
20,10.0,Pooled,D7,immune+stromal,2.163142390554046,1.113128634964651,1747,6,2,False,False,"[1.147105072658484, 1.079152197270818]"
