finding_type,finding,cell_type,markers,genes,hedges_g,p_value_fdr,aki_gene_association,aki_genes,indra_evidence_count,indra_max_belief,indra_statement_types,indra_context_tier,kidney_context_count,kidney_contexts,biological_context,enrichment_score,fraction_significant,shared_go_processes,mechanistic_narrative
neighborhood_enrichment,m2_macrophage <-> neutrophil @ D1,m2_macrophage | neutrophil,CD11b | Ly6G,ITGAM | Ly6g,,,False,,42,0.505,"Activation, Complex, IncreaseAmount, Inhibition",medium,4,neutrophil_degranulation; leukocyte_extravasation; metanephros_cortex; metanephric_glomerulus,CD11b-Ly6G complex — THE canonical neutrophil surface signature,1.051847939806117,0.1666666666666666,,
neighborhood_enrichment,m2_macrophage <-> neutrophil @ D7,m2_macrophage | neutrophil,CD11b | Ly6G,ITGAM | Ly6g,,,False,,42,0.505,"Activation, Complex, IncreaseAmount, Inhibition",medium,4,neutrophil_degranulation; leukocyte_extravasation; metanephros_cortex; metanephric_glomerulus,CD11b-Ly6G complex — THE canonical neutrophil surface signature,1.3649926460917368,0.5,,
neighborhood_enrichment,m2_macrophage <-> neutrophil @ Sham,m2_macrophage | neutrophil,CD11b | Ly6G,ITGAM | Ly6g,,,False,,42,0.505,"Activation, Complex, IncreaseAmount, Inhibition",medium,4,neutrophil_degranulation; leukocyte_extravasation; metanephros_cortex; metanephric_glomerulus,CD11b-Ly6G complex — THE canonical neutrophil surface signature,1.2534368435929837,0.1666666666666666,,
neighborhood_enrichment,m2_macrophage <-> resting_endothelial @ D3,m2_macrophage | resting_endothelial,CD11b | CD31,ITGAM | PECAM1,,,False,,9,0.614,"Activation, Complex, DecreaseAmount, Inhibition",low,7,kidney_lineage_markers; glomerular_endothelium; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b-PECAM1 complex — transendothelial migration,1.1173265885308128,0.0,leukocyte cell-cell adhesion (GO:0007159); cell-cell adhesion (GO:0098609),Endothelial-macrophage proximity reflects leukocyte extravasation. PECAM1 mediates diapedesis (GO:0050904) and neutrophil extravasation (GO:0072672). ITGAM on myeloid cells adheres to PECAM1 via leukocyte cell-cell adhesion (GO:0007159). This is the transendothelial migration axis.
neighborhood_enrichment,neutrophil <-> activated_immune_cd140b @ D1,neutrophil | activated_immune_cd140b,"Ly6G | CD140b, CD45","Ly6g | PDGFRB, PTPRC",,,False,,5,0.376,Activation,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,1.076069416568749,0.1666666666666666,,
neighborhood_enrichment,neutrophil <-> activated_immune_cd140b @ D7,neutrophil | activated_immune_cd140b,"Ly6G | CD140b, CD45","Ly6g | PDGFRB, PTPRC",,,False,,5,0.376,Activation,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,1.0341478016466028,0.1666666666666666,,
neighborhood_enrichment,neutrophil <-> activated_immune_cd140b @ Sham,neutrophil | activated_immune_cd140b,"Ly6G | CD140b, CD45","Ly6g | PDGFRB, PTPRC",,,False,,5,0.376,Activation,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,1.269237954161567,0.1666666666666666,,
neighborhood_enrichment,neutrophil <-> m2_macrophage @ D1,neutrophil | m2_macrophage,Ly6G | CD11b,Ly6g | ITGAM,,,False,,42,0.505,"Activation, Complex, IncreaseAmount, Inhibition",medium,4,neutrophil_degranulation; leukocyte_extravasation; metanephros_cortex; metanephric_glomerulus,CD11b-Ly6G complex — THE canonical neutrophil surface signature,1.0659874616785598,0.1666666666666666,,
neighborhood_enrichment,neutrophil <-> m2_macrophage @ D7,neutrophil | m2_macrophage,Ly6G | CD11b,Ly6g | ITGAM,,,False,,42,0.505,"Activation, Complex, IncreaseAmount, Inhibition",medium,4,neutrophil_degranulation; leukocyte_extravasation; metanephros_cortex; metanephric_glomerulus,CD11b-Ly6G complex — THE canonical neutrophil surface signature,1.2071067712056571,0.3333333333333333,,
neighborhood_enrichment,neutrophil <-> m2_macrophage @ Sham,neutrophil | m2_macrophage,Ly6G | CD11b,Ly6g | ITGAM,,,False,,42,0.505,"Activation, Complex, IncreaseAmount, Inhibition",medium,4,neutrophil_degranulation; leukocyte_extravasation; metanephros_cortex; metanephric_glomerulus,CD11b-Ly6G complex — THE canonical neutrophil surface signature,1.1862684712786489,0.0,,
neighborhood_enrichment,resting_endothelial <-> activated_endothelial_cd44 @ D1,resting_endothelial | activated_endothelial_cd44,"CD31 | CD44, CD31","PECAM1 | CD44, PECAM1",,,True,CD44,4,0.484,"Activation, IncreaseAmount, Inhibition",low,7,kidney_lineage_markers; glomerular_endothelium; neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,,1.1894472972346015,0.5,transmembrane signaling receptor activity (GO:0004888),Endothelial self-clustering reflects vascular network topology. CD31+/CD34+ endothelial cells in the peritubular capillary plexus are physically connected. PECAM1 mediates homophilic adhesion (GO:0007156). Both share glomerular endothelium development (GO:0072011).
neighborhood_enrichment,resting_endothelial <-> activated_endothelial_cd44 @ D3,resting_endothelial | activated_endothelial_cd44,"CD31 | CD44, CD31","PECAM1 | CD44, PECAM1",,,True,CD44,4,0.484,"Activation, IncreaseAmount, Inhibition",low,7,kidney_lineage_markers; glomerular_endothelium; neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,,1.1101112230798824,0.1666666666666666,transmembrane signaling receptor activity (GO:0004888),Endothelial self-clustering reflects vascular network topology. CD31+/CD34+ endothelial cells in the peritubular capillary plexus are physically connected. PECAM1 mediates homophilic adhesion (GO:0007156). Both share glomerular endothelium development (GO:0072011).
neighborhood_enrichment,resting_endothelial <-> activated_endothelial_cd44 @ D7,resting_endothelial | activated_endothelial_cd44,"CD31 | CD44, CD31","PECAM1 | CD44, PECAM1",,,True,CD44,4,0.484,"Activation, IncreaseAmount, Inhibition",low,7,kidney_lineage_markers; glomerular_endothelium; neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,,1.1530179444150033,0.1666666666666666,transmembrane signaling receptor activity (GO:0004888),Endothelial self-clustering reflects vascular network topology. CD31+/CD34+ endothelial cells in the peritubular capillary plexus are physically connected. PECAM1 mediates homophilic adhesion (GO:0007156). Both share glomerular endothelium development (GO:0072011).
neighborhood_enrichment,resting_endothelial <-> activated_endothelial_cd44 @ Sham,resting_endothelial | activated_endothelial_cd44,"CD31 | CD44, CD31","PECAM1 | CD44, PECAM1",,,True,CD44,4,0.484,"Activation, IncreaseAmount, Inhibition",low,7,kidney_lineage_markers; glomerular_endothelium; neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,,1.0306782996501644,0.1666666666666666,transmembrane signaling receptor activity (GO:0004888),Endothelial self-clustering reflects vascular network topology. CD31+/CD34+ endothelial cells in the peritubular capillary plexus are physically connected. PECAM1 mediates homophilic adhesion (GO:0007156). Both share glomerular endothelium development (GO:0072011).
neighborhood_enrichment,resting_endothelial <-> m2_macrophage @ Sham,resting_endothelial | m2_macrophage,CD31 | CD11b,PECAM1 | ITGAM,,,False,,9,0.614,"Activation, Complex, DecreaseAmount, Inhibition",low,7,kidney_lineage_markers; glomerular_endothelium; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b-PECAM1 complex — transendothelial migration,1.0199509095646409,0.0,leukocyte cell-cell adhesion (GO:0007159); cell-cell adhesion (GO:0098609),Endothelial-macrophage proximity reflects leukocyte extravasation. PECAM1 mediates diapedesis (GO:0050904) and neutrophil extravasation (GO:0072672). ITGAM on myeloid cells adheres to PECAM1 via leukocyte cell-cell adhesion (GO:0007159). This is the transendothelial migration axis.
