scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
20.0,Pooled,Sham,immune,1.3344415694024252,0.41623613621882305,215,6,2,False,False,"[0.2765350888713513, 0.5559371835662948]"
20.0,Pooled,Sham,immune+stromal,1.3434683034175792,0.42596228410381,254,6,2,False,False,"[0.3827352829173683, 0.4691892852902517]"
20.0,Pooled,Sham,none,1.1472890152210689,0.198228868514302,1032,6,2,False,False,"[0.23674519744513386, 0.15971253958347012]"
20.0,Pooled,Sham,stromal,1.4371855281079078,0.5232463131551413,192,6,2,False,False,"[0.6413640284848261, 0.40512859782545646]"
40.0,Cortex,D1,endothelial,1.1872166580553665,0.24758323993293163,31,3,2,False,False,"[0.16736181864183167, 0.3278046612240316]"
40.0,Cortex,D1,endothelial+immune,,,14,3,2,True,False,"[-1.8415991353567993, 1.2055489111730333]"
40.0,Cortex,D1,endothelial+immune+stromal,1.0058920810327785,0.008475531276148338,154,3,2,False,False,"[0.01670148292346067, 0.00024957962883600615]"
40.0,Cortex,D1,endothelial+stromal,1.1882045291113479,0.24878319281990946,30,3,2,False,False,"[0.02993189802654017, 0.46763448761327875]"
40.0,Cortex,D1,immune,,,6,3,1,True,True,[1.4506614090095653]
40.0,Cortex,D1,immune+stromal,,,7,2,0,True,True,[]
40.0,Cortex,D1,none,0.86848398932148,-0.20342884208228007,95,3,2,False,False,"[-0.23202878587035886, -0.17482889829420128]"
40.0,Cortex,D1,stromal,,,12,3,2,True,False,"[0.41328836680666925, -0.023269779322847028]"
40.0,Cortex,D3,endothelial,0.682964690427129,-0.5501171024078513,28,3,2,False,False,"[-1.6844981742720706, 0.5842639694563682]"
40.0,Cortex,D3,endothelial+immune,,,26,3,1,False,True,[-0.6844981742720706]
40.0,Cortex,D3,endothelial+immune+stromal,1.0355703826204048,0.05042560976966108,163,3,2,False,False,"[0.06638739733390166, 0.03446382220542051]"
40.0,Cortex,D3,endothelial+stromal,,,21,3,1,False,True,[0.5958812478793618]
40.0,Cortex,D3,immune,,,13,3,2,True,False,"[0.070389327891398, -0.1975999598851607]"
40.0,Cortex,D3,immune+stromal,,,11,3,2,True,False,"[0.4854268271702419, 1.446256229889564]"
40.0,Cortex,D3,none,0.9346152680840059,-0.0975554893033556,77,3,2,False,False,"[-0.028620677939767712, -0.16649030066694348]"
40.0,Cortex,D3,stromal,,,12,3,1,True,True,[1.2804226808457484]
40.0,Cortex,D7,endothelial,1.3899243252004492,0.4750063371717847,41,3,2,False,False,"[0.3168139879695657, 0.6331986863740037]"
40.0,Cortex,D7,endothelial+immune,,,8,3,1,True,True,[-0.023269779322847028]
40.0,Cortex,D7,endothelial+immune+stromal,1.157549235337862,0.21107355855429422,167,3,2,False,False,"[0.12026631119487091, 0.3018808059137175]"
40.0,Cortex,D7,endothelial+stromal,2.2828562168667244,1.1908399958982518,22,3,2,False,False,"[0.3536369546147006, 2.0280430371818032]"
40.0,Cortex,D7,immune,,,9,3,1,True,True,[0.6205864104518775]
40.0,Cortex,D7,immune+stromal,1.5110156248929145,0.5955185789931277,68,3,2,False,False,"[0.6566803749930815, 0.5343567829931738]"
40.0,Cortex,D7,none,1.3053225592303273,0.38440635629721964,60,3,2,False,False,"[-0.04881054491699188, 0.8176232575114312]"
40.0,Cortex,D7,stromal,,,4,2,0,True,True,[]
40.0,Cortex,Sham,endothelial,1.0541877102276718,0.0761317782681668,38,3,2,False,False,"[0.16635838642212003, -0.014094829885786418]"
40.0,Cortex,Sham,endothelial+immune,,,17,3,2,True,False,"[0.5148851726818788, 0.9884120257247881]"
40.0,Cortex,Sham,endothelial+immune+stromal,0.9471462021624055,-0.07834095657009589,123,3,2,False,False,"[-0.02550061297281206, -0.13118130016737972]"
40.0,Cortex,Sham,endothelial+stromal,,,16,3,2,True,False,"[-0.09114788805819544, 0.632268215499513]"
40.0,Cortex,Sham,immune,,,13,3,2,True,False,"[-1.6463630453852993, -0.5376567859427995]"
40.0,Cortex,Sham,immune+stromal,,,18,3,2,True,False,"[-0.2923549795040152, 1.4623432140572006]"
40.0,Cortex,Sham,none,1.0345801391711145,0.049045401511867925,106,3,2,False,False,"[-0.0401885718021113, 0.13827937482584715]"
40.0,Cortex,Sham,stromal,,,9,1,1,True,True,[0.3536369546147004]
40.0,Medulla,D1,endothelial,,,25,3,1,False,True,[0.8713962414586719]
40.0,Medulla,D1,endothelial+immune,,,17,3,1,True,True,[0.49683159044249126]
40.0,Medulla,D1,endothelial+immune+stromal,1.1858464642821092,0.24591723116746467,123,3,2,False,False,"[0.266669434071931, 0.2251650282629983]"
40.0,Medulla,D1,endothelial+stromal,1.3080160964548904,0.38738029476012303,35,3,2,False,False,"[0.6603303227253706, 0.1144302667948755]"
40.0,Medulla,D1,immune,,,4,2,2,True,False,"[2.6667565918848037, 2.6667565918848037]"
40.0,Medulla,D1,immune+stromal,,,18,3,1,True,True,[1.2337971846086973]
40.0,Medulla,D1,none,1.1455885637421466,0.1960889955545025,127,3,2,False,False,"[0.1992231747505418, 0.1929548163584632]"
40.0,Medulla,D1,stromal,1.3106798452729538,0.39031532702118643,24,3,2,False,False,"[0.607862902831235, 0.17276775121113783]"
40.0,Medulla,D3,endothelial,0.9748440208212861,-0.03675669488620187,30,3,2,False,False,"[-0.974829114912997, 0.9013157251405932]"
40.0,Medulla,D3,endothelial+immune,,,16,3,2,True,False,"[-0.0831412353002457, 0.32832586608551295]"
40.0,Medulla,D3,endothelial+immune+stromal,1.0102560885318168,0.01472104626840447,154,3,2,False,False,"[0.0041369767274325436, 0.025305115809376395]"
40.0,Medulla,D3,endothelial+stromal,1.2666805436244957,0.3410527231839441,30,3,2,False,False,"[0.1838545788400628, 0.49825086752782544]"
40.0,Medulla,D3,immune,,,4,3,1,True,True,[1.560714954474479]
40.0,Medulla,D3,immune+stromal,,,15,3,1,True,True,[-0.7818835381033331]
40.0,Medulla,D3,none,0.9095713283772244,-0.13674131675651194,80,3,2,False,False,"[0.1697143166040378, -0.44319695011706167]"
40.0,Medulla,D3,stromal,,,31,2,1,False,True,[0.8320513924478329]
40.0,Medulla,D7,endothelial,1.284269216327401,0.3609476606755942,69,3,2,False,False,"[0.0553349821691086, 0.6665603391820798]"
40.0,Medulla,D7,endothelial+immune,2.5506617705835772,1.350871603662723,33,3,2,False,False,"[0.8910656284468359, 1.81067757887861]"
40.0,Medulla,D7,endothelial+immune+stromal,1.157319226353701,0.21078686164050206,123,3,2,False,False,"[-0.002674134298325465, 0.4242478575793296]"
40.0,Medulla,D7,endothelial+stromal,1.9157140845936027,0.9378822586112361,45,3,2,False,False,"[1.2460279805281038, 0.6297365366943682]"
40.0,Medulla,D7,immune,,,19,3,1,True,True,[2.4604064859204438]
40.0,Medulla,D7,immune+stromal,1.479155164274526,0.5647733999607959,24,3,2,False,False,"[0.07860983469636647, 1.0509369652252254]"
40.0,Medulla,D7,none,1.157738870590413,0.2113098883988127,64,3,2,False,False,"[-0.06711419585853691, 0.4897339726561623]"
40.0,Medulla,D7,stromal,1.4444686471147798,0.5305388898541247,31,3,2,False,False,"[0.874469117916141, 0.18660866179210833]"
40.0,Medulla,Sham,endothelial,,,34,2,1,False,True,[-0.20187236258377378]
40.0,Medulla,Sham,endothelial+immune,,,11,3,1,True,True,[0.5727884121428086]
40.0,Medulla,Sham,endothelial+immune+stromal,1.207484164394217,0.272004268895633,100,3,2,False,False,"[0.3827225803529897, 0.16128595743827623]"
40.0,Medulla,Sham,endothelial+stromal,1.0811209451137598,0.11252792654670041,23,3,2,False,False,"[-0.5493385909904348, 0.7743944440838356]"
40.0,Medulla,Sham,immune,,,16,3,2,True,False,"[0.4506614090095652, 2.5956097449206648]"
40.0,Medulla,Sham,immune+stromal,1.9364350932826233,0.9534031449662514,20,3,2,False,False,"[1.088091329624857, 0.8187149603076459]"
40.0,Medulla,Sham,none,1.0961870401084775,0.1324939833480414,161,3,2,False,False,"[0.2232509129064929, 0.041737053789589924]"
40.0,Medulla,Sham,stromal,1.672448668301947,0.7419619315706568,26,3,2,False,False,"[1.2912787851989178, 0.19264507794239583]"
40.0,Pooled,D1,endothelial,1.346095188756557,0.4287804333444784,56,6,2,False,False,"[0.16736181864183167, 0.6901990480471252]"
40.0,Pooled,D1,endothelial+immune,0.7094611342421197,-0.49520444227451854,31,6,2,False,False,"[-1.8415991353567993, 0.8511902508077622]"
40.0,Pooled,D1,endothelial+immune+stromal,1.0905898795201827,0.12510867267894749,277,6,2,False,False,"[0.10002413330628411, 0.15019321205161087]"
40.0,Pooled,D1,endothelial+stromal,1.177816554868385,0.23611485666358012,65,6,2,False,False,"[0.24006470625948365, 0.2321650070676766]"
40.0,Pooled,D1,immune,,,10,5,2,True,False,"[2.6667565918848037, 2.0587090004471844]"
40.0,Pooled,D1,immune+stromal,,,25,5,1,False,True,[1.2337971846086973]
40.0,Pooled,D1,none,0.9938093747633628,-0.008958943761241803,222,6,2,False,False,"[-0.08827813233005864, 0.07036024480757504]"
40.0,Pooled,D1,stromal,1.2112089455624742,0.27644776571283497,36,6,2,False,False,"[0.4781465454815245, 0.0747489859441454]"
40.0,Pooled,D3,endothelial,0.8346719594863959,-0.26071879000745574,58,6,2,False,False,"[-1.211385468032688, 0.6899478880177766]"
40.0,Pooled,D3,endothelial+immune,0.9809510694307024,-0.027746919350322585,42,6,2,False,False,"[-0.3838197047861581, 0.32832586608551295]"
40.0,Pooled,D3,endothelial+immune+stromal,1.0197030044707354,0.028149018501497362,317,6,2,False,False,"[0.024887116929588917, 0.03141092007340581]"
40.0,Pooled,D3,endothelial+stromal,1.2955782766082855,0.373596183301123,51,6,2,False,False,"[0.1838545788400628, 0.5633377877621831]"
40.0,Pooled,D3,immune,,,17,6,2,True,False,"[0.8155521411829385, -0.1975999598851607]"
40.0,Pooled,D3,immune+stromal,1.457407924273931,0.543404740105378,26,6,2,False,False,"[-0.35944674967880813, 1.446256229889564]"
40.0,Pooled,D3,none,0.9476579975279654,-0.07756159936377346,157,6,2,False,False,"[0.10360265175610262, -0.25872585048364954]"
40.0,Pooled,D3,stromal,2.079500506886266,1.0562370366467906,43,5,2,False,False,"[0.8320513924478329, 1.2804226808457484]"
40.0,Pooled,D7,endothelial,1.3590015050157813,0.4425470538077339,110,6,2,False,False,"[0.22965431936941336, 0.6554397882460544]"
40.0,Pooled,D7,endothelial+immune,2.176919035891964,1.1222877517203023,41,6,2,False,False,"[0.43389792456199444, 1.81067757887861]"
40.0,Pooled,D7,endothelial+immune+stromal,1.1739512514684867,0.23137250152729882,290,6,2,False,False,"[0.07928616269713878, 0.38345884035745886]"
40.0,Pooled,D7,endothelial+stromal,1.9289765238907368,0.9478355855474578,67,6,2,False,False,"[0.7998324675714023, 1.0958387035235133]"
40.0,Pooled,D7,immune,2.908945864623983,1.5404964481861607,28,6,2,False,False,"[0.6205864104518775, 2.4604064859204438]"
40.0,Pooled,D7,immune+stromal,1.5457623524882758,0.6283185345016881,92,6,2,False,False,"[0.46399019489417653, 0.7926468741091997]"
40.0,Pooled,D7,none,1.207530240679084,0.2720593195218725,124,6,2,False,False,"[-0.054911761897506885, 0.5990304009412519]"
40.0,Pooled,D7,stromal,1.4444686471147798,0.5305388898541247,35,5,2,False,False,"[0.874469117916141, 0.18660866179210833]"
40.0,Pooled,Sham,endothelial,1.0094288794273991,0.01353926736883769,72,5,2,False,False,"[0.16635838642212003, -0.13927985168444465]"
40.0,Pooled,Sham,endothelial+immune,1.5295501338416275,0.613107394676007,28,6,2,False,False,"[0.5148851726818788, 0.7113296166701351]"
40.0,Pooled,Sham,endothelial+immune+stromal,1.0622956399202852,0.08718532818608972,223,6,2,False,False,"[0.11057378480245521, 0.06379687156972423]"
40.0,Pooled,Sham,endothelial+stromal,1.1513990264496334,0.20338789751570646,39,6,2,False,False,"[-0.3202432395243151, 0.727019034555728]"
40.0,Pooled,Sham,immune,1.1611568217324468,0.21556283065053283,29,6,2,False,False,"[-0.597850818187867, 1.0289764794889327]"
40.0,Pooled,Sham,immune+stromal,1.6421238535676566,0.7155629433089592,38,6,2,False,False,"[0.39786817506042094, 1.0332577115574975]"
40.0,Pooled,Sham,none,1.0430231714349014,0.06077120861788289,267,6,2,False,False,"[0.04762458976742343, 0.07391782746834234]"
40.0,Pooled,Sham,stromal,1.421635363140124,0.5075514739246025,35,4,2,False,False,"[0.8224578699068091, 0.19264507794239583]"
