compartment,timepoint,mouse,region,cd44_rate,n_support
CD31,Sham,MS2,medulla,0.2148148148148148,42
CD34,D1,MS1,medulla,0.4,25
CD34,D1,MS2,medulla,0.6045568039950062,107
CD34,D3,MS1,medulla,0.2947674418604651,63
CD34,D3,MS2,medulla,0.6808510638297872,47
CD34,D7,MS1,medulla,0.25,60
CD34,D7,MS2,medulla,0.4340909090909091,75
CD34,Sham,MS1,medulla,0.7894736842105263,38
CD34,Sham,MS2,medulla,0.3333333333333333,39
CD140b,D1,MS1,medulla,0.7333333333333333,15
CD140b,D1,MS2,medulla,0.6566091954022989,99
CD140b,D3,MS1,medulla,0.3869047619047619,57
CD140b,D3,MS2,medulla,0.5588235294117647,68
CD140b,D7,MS1,medulla,0.40625,32
CD140b,D7,MS2,medulla,0.7171717171717171,62
CD140b,Sham,MS1,medulla,0.8095238095238095,42
CD140b,Sham,MS2,medulla,0.3392857142857143,19
endothelial_cd31cd34,D1,MS1,medulla,0.6666666666666666,12
endothelial_cd31cd34,D1,MS2,medulla,0.7628205128205128,84
endothelial_cd31cd34,D3,MS1,medulla,0.3157894736842105,57
endothelial_cd31cd34,D3,MS2,medulla,0.6956521739130435,46
endothelial_cd31cd34,D7,MS1,medulla,0.23214285714285715,56
endothelial_cd31cd34,D7,MS2,medulla,0.4782608695652174,62
endothelial_cd31cd34,Sham,MS1,medulla,0.8214285714285714,28
endothelial_cd31cd34,Sham,MS2,medulla,0.3666666666666667,16
CD45,D1,MS1,pooled,0.7454545454545455,82
CD45,D1,MS2,pooled,0.8436507936507937,128
CD45,D3,MS1,pooled,0.4611111111111111,116
CD45,D3,MS2,pooled,0.7664109121909634,151
CD45,D7,MS1,pooled,0.7074038786302296,164
CD45,D7,MS2,pooled,0.7298289528577389,166
CD45,Sham,MS1,pooled,0.7342592592592593,127
CD45,Sham,MS2,pooled,0.5771604938271605,52
CD206,D1,MS1,pooled,0.5715080971659919,151
CD206,D1,MS2,pooled,0.6689982665592421,192
CD206,D3,MS1,pooled,0.36469757394483215,182
CD206,D3,MS2,pooled,0.6425819265143992,185
CD206,D7,MS1,pooled,0.5607726576735743,250
CD206,D7,MS2,pooled,0.5617363497518136,131
CD206,Sham,MS1,pooled,0.6584425451092117,118
CD206,Sham,MS2,pooled,0.24598930481283424,53
CD31,D1,MS1,pooled,0.6747122762148338,96
CD31,D1,MS2,pooled,0.7552100392398641,161
CD31,D3,MS1,pooled,0.3881416300020952,130
CD31,D3,MS2,pooled,0.640997815997816,180
CD31,D7,MS1,pooled,0.4784262284262284,208
CD31,D7,MS2,pooled,0.5860862460926399,162
CD31,Sham,MS1,pooled,0.7308641975308642,92
CD31,Sham,MS2,pooled,0.32839506172839505,87
CD34,D1,MS1,pooled,0.5602150537634408,117
CD34,D1,MS2,pooled,0.6887521550442899,170
CD34,D3,MS1,pooled,0.4229267222465994,116
CD34,D3,MS2,pooled,0.7113333551219618,141
CD34,D7,MS1,pooled,0.49314465408805025,163
CD34,D7,MS2,pooled,0.5782828282828283,90
CD34,Sham,MS1,pooled,0.6574580390369864,103
CD34,Sham,MS2,pooled,0.3685636856368564,80
CD140b,D1,MS1,pooled,0.6600358422939068,137
CD140b,D1,MS2,pooled,0.7155172413793104,189
CD140b,D3,MS1,pooled,0.45117322291235334,126
CD140b,D3,MS2,pooled,0.6510441575003986,199
CD140b,D7,MS1,pooled,0.6208632376395534,196
CD140b,D7,MS2,pooled,0.7744107744107743,143
CD140b,Sham,MS1,pooled,0.7048892210182532,110
CD140b,Sham,MS2,pooled,0.41285714285714287,69
endothelial_cd31cd34,D1,MS1,pooled,0.7067676767676767,81
endothelial_cd31cd34,D1,MS2,pooled,0.7934932451061484,146
endothelial_cd31cd34,D3,MS1,pooled,0.4226475279106858,101
endothelial_cd31cd34,D3,MS2,pooled,0.7389387316923548,129
endothelial_cd31cd34,D7,MS1,pooled,0.516077361177029,148
endothelial_cd31cd34,D7,MS2,pooled,0.6521739130434783,75
endothelial_cd31cd34,Sham,MS1,pooled,0.7649954212454212,73
endothelial_cd31cd34,Sham,MS2,pooled,0.41111111111111115,50
