compartment,timepoint,mouse,region,cd44_rate,n_support,scale_um
CD206,D3,MS1,cortex,0.7121212121212122,264,20.0
CD206,D3,MS2,cortex,0.5485221674876847,640,20.0
CD206,D7,MS1,cortex,0.8517358541344278,779,20.0
CD206,D7,MS2,cortex,0.9119047619047619,420,20.0
CD206,Sham,MS1,cortex,0.48993600930773706,371,20.0
CD206,Sham,MS2,cortex,0.520618556701031,194,20.0
CD31,D1,MS1,cortex,0.6219093406593406,390,20.0
CD31,D1,MS2,cortex,0.7298850574712644,174,20.0
CD31,D3,MS1,cortex,0.6253602305475504,347,20.0
CD31,D3,MS2,cortex,0.5151133203148115,608,20.0
CD31,D7,MS1,cortex,0.7350473752185889,837,20.0
CD31,D7,MS2,cortex,0.8062015503875969,258,20.0
CD31,Sham,MS1,cortex,0.5314756710991584,304,20.0
CD31,Sham,MS2,cortex,0.5842696629213483,178,20.0
CD34,D1,MS1,cortex,0.542934293429343,422,20.0
CD34,D1,MS2,cortex,0.6377551020408163,196,20.0
CD34,D3,MS1,cortex,0.6728624535315985,269,20.0
CD34,D3,MS2,cortex,0.5118421052631579,616,20.0
CD34,D7,MS1,cortex,0.7376647569953938,795,20.0
CD34,D7,MS2,cortex,0.7474747474747475,198,20.0
CD34,Sham,MS1,cortex,0.5202710116304586,289,20.0
CD34,Sham,MS2,cortex,0.441340782122905,179,20.0
CD140b,D1,MS1,cortex,0.5828936688311688,564,20.0
CD140b,D1,MS2,cortex,0.6586021505376344,372,20.0
CD140b,D3,MS1,cortex,0.6170212765957447,423,20.0
CD140b,D3,MS2,cortex,0.6150480552834335,601,20.0
CD140b,D7,MS1,cortex,0.8278908046271309,884,20.0
CD140b,D7,MS2,cortex,0.8544698544698545,481,20.0
CD140b,Sham,MS1,cortex,0.6923376255836988,265,20.0
CD140b,Sham,MS2,cortex,0.5968379446640316,253,20.0
endothelial_cd31cd34,D1,MS1,cortex,0.6421556122448979,307,20.0
endothelial_cd31cd34,D1,MS2,cortex,0.7272727272727273,143,20.0
endothelial_cd31cd34,D3,MS1,cortex,0.6733067729083665,251,20.0
endothelial_cd31cd34,D3,MS2,cortex,0.5284701332187366,540,20.0
endothelial_cd31cd34,D7,MS1,cortex,0.7387482897686979,750,20.0
endothelial_cd31cd34,D7,MS2,cortex,0.7885714285714286,175,20.0
endothelial_cd31cd34,Sham,MS1,cortex,0.6689791024323398,181,20.0
endothelial_cd31cd34,Sham,MS2,cortex,0.5271317829457365,129,20.0
CD45,D1,MS1,medulla,0.6764705882352942,136,20.0
CD45,D1,MS2,medulla,0.6843728222996516,339,20.0
CD45,D3,MS1,medulla,0.4500089110675459,367,20.0
CD45,D3,MS2,medulla,0.8909774436090225,266,20.0
CD45,D7,MS1,medulla,0.3888888888888889,198,20.0
CD45,D7,MS2,medulla,0.4818513296708639,642,20.0
CD45,Sham,MS1,medulla,0.5586854460093896,213,20.0
CD45,Sham,MS2,medulla,0.5863997113997114,183,20.0
CD206,D1,MS1,medulla,0.5826086956521739,115,20.0
CD206,D1,MS2,medulla,0.49330984117256527,504,20.0
CD206,D3,MS1,medulla,0.3075918436130772,620,20.0
CD206,D3,MS2,medulla,0.7968253968253968,315,20.0
CD206,D7,MS1,medulla,0.20140515222482436,427,20.0
CD206,D7,MS2,medulla,0.41957095129242133,477,20.0
CD206,Sham,MS1,medulla,0.527027027027027,148,20.0
CD206,Sham,MS2,medulla,0.3453081232492997,173,20.0
CD31,D1,MS1,medulla,0.5128205128205128,117,20.0
CD31,D1,MS2,medulla,0.5618279569892474,405,20.0
CD31,D3,MS1,medulla,0.35367647058823526,358,20.0
CD31,D3,MS2,medulla,0.6993243243243243,296,20.0
CD31,D7,MS1,medulla,0.1945945945945946,370,20.0
CD31,D7,MS2,medulla,0.41058858325939074,590,20.0
CD31,Sham,MS1,medulla,0.5855855855855856,111,20.0
CD31,Sham,MS2,medulla,0.3698899371069182,279,20.0
CD34,D1,MS1,medulla,0.46195652173913043,184,20.0
CD34,D1,MS2,medulla,0.5295842066504277,405,20.0
CD34,D3,MS1,medulla,0.3159340659340659,355,20.0
CD34,D3,MS2,medulla,0.7430555555555556,288,20.0
CD34,D7,MS1,medulla,0.2152777777777778,288,20.0
CD34,D7,MS2,medulla,0.41912895593019817,521,20.0
CD34,Sham,MS1,medulla,0.463768115942029,207,20.0
CD34,Sham,MS2,medulla,0.37385110294117646,213,20.0
CD140b,D1,MS1,medulla,0.5986394557823129,147,20.0
CD140b,D1,MS2,medulla,0.5934104683195592,488,20.0
CD140b,D3,MS1,medulla,0.5268511730205279,300,20.0
CD140b,D3,MS2,medulla,0.7658959537572254,346,20.0
CD140b,D7,MS1,medulla,0.4069767441860465,172,20.0
CD140b,D7,MS2,medulla,0.6233166602539437,408,20.0
CD140b,Sham,MS1,medulla,0.5591397849462365,186,20.0
CD140b,Sham,MS2,medulla,0.621836702212319,164,20.0
endothelial_cd31cd34,D1,MS1,medulla,0.5643564356435643,101,20.0
endothelial_cd31cd34,D1,MS2,medulla,0.5677123706169349,332,20.0
endothelial_cd31cd34,D3,MS1,medulla,0.3729411067662045,271,20.0
endothelial_cd31cd34,D3,MS2,medulla,0.756,250,20.0
endothelial_cd31cd34,D7,MS1,medulla,0.2109090909090909,275,20.0
endothelial_cd31cd34,D7,MS2,medulla,0.4542730386052304,395,20.0
endothelial_cd31cd34,Sham,MS1,medulla,0.5818181818181818,110,20.0
endothelial_cd31cd34,Sham,MS2,medulla,0.49468599033816424,114,20.0
CD45,D1,MS1,pooled,0.7252432824981844,394,20.0
CD45,D1,MS2,pooled,0.7587847800838258,523,20.0
CD45,D3,MS1,pooled,0.5383837844307873,704,20.0
CD45,D3,MS2,pooled,0.7512864748805628,620,20.0
CD45,D7,MS1,pooled,0.7735055666353375,830,20.0
CD45,D7,MS2,pooled,0.6197527382990945,1092,20.0
CD45,Sham,MS1,pooled,0.6579652903774088,519,20.0
CD45,Sham,MS2,pooled,0.6575998075998076,338,20.0
CD206,D1,MS1,pooled,0.5359685729155179,672,20.0
CD206,D1,MS2,pooled,0.5472239823844977,791,20.0
CD206,D3,MS1,pooled,0.4424349664491222,884,20.0
CD206,D3,MS2,pooled,0.6312899106002554,955,20.0
