endpoint,composite_label,contrast,hedges_g_sigmoid,g_shrunk_neutral_sigmoid,g_pathological_sigmoid,support_sensitive,hedges_g_raw,g_shrunk_neutral_raw,g_pathological_raw,sigmoid_above,raw_above,headline_overlap_status,sign_agree
vs_sham_mean_delta_lineage_endothelial,stromal,D3_vs_D7,-0.6310777370963044,-0.30787548012411065,False,False,-0.1547013098297267,-0.07723512808130426,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,stromal,Sham_vs_D1,1.2332646971380028,0.5631042944088295,False,False,0.7790804513719537,0.37530295899494576,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_endothelial,stromal,Sham_vs_D3,4.277551902007548,0.9977539129675311,False,False,5.2865750384794445,0.962335487082635,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,stromal,Sham_vs_D7,1.2492403006612849,0.5691104887679447,False,False,0.8957206121223441,0.4264748470671969,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_endothelial,unassigned,D1_vs_D3,1.318367720633573,0.5945927501563698,False,False,1.258578214182837,0.5726009306549598,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,unassigned,D1_vs_D7,0.2528420985653961,0.12591793530436413,False,False,0.6944471096394829,0.33706408949601074,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,unassigned,D3_vs_D7,-0.9180388942070004,-0.4360506064651681,False,False,-0.21856442056152214,-0.108956903062713,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,unassigned,Sham_vs_D1,1.6204617189133703,0.6960037586547009,False,False,1.6058724085974219,0.6914849805651893,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,unassigned,Sham_vs_D3,2.7151871692208633,0.9293716000775061,False,False,2.4377061193514686,0.8887650880442115,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,unassigned,Sham_vs_D7,1.6516727985676243,0.7055406950795329,False,False,1.5124640826039362,0.6616367008148967,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b,D1_vs_D3,3.4094610056603427,,True,False,4.20812201519882,,True,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b,D1_vs_D7,1.0676549558650208,0.4983253153713367,False,False,2.939752805359953,0.9543820538864534,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b,D3_vs_D7,0.21318362708886424,0.1062899020012868,False,False,1.662210023092054,0.7087204165917167,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b,Sham_vs_D1,-0.02804476891701992,-0.014021695196612503,False,False,1.1850551005287457,0.5447165656035484,False,False,True,raw_only,False
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b,Sham_vs_D3,1.1984119006137044,0.5498503175939766,False,False,2.676074524966079,0.9243232030137042,False,True,True,both_above,True
