endpoint,contrast,composite_label,hedges_g_sigmoid,hedges_g_raw,family_b_lineage_source_sign_reverse,family_b_lineage_source_magnitude_disagree
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_endothelial_cd140b_cd44,0.8906374566057733,1.209902817331945,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_endothelial_cd44,1.8840916820689115,5.245677707729047,False,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_m2_macrophage_cd140b_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_stromal_cd140b,0.7656591638049159,1.5020981327927216,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_stromal_cd140b_cd44,1.1450436660202432,2.5803449440851858,False,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,endothelial,0.9604661720840844,1.4961963428335547,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,mixed,1.165748200858171,-0.013662791930319917,True,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,neutrophil,1.8889526571488617,2.027666400353256,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,non_myeloid_immune,1.5302165506109418,1.0962882907212828,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,stromal,1.4776439700451103,2.4618895704000168,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,unassigned,2.691136966716178,3.990356463607875,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_endothelial_cd140b,0.8761395207329139,3.079232195390863,False,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_endothelial_cd140b_cd44,1.130673808389891,1.3450244340523683,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_endothelial_cd44,2.5223679016396967,4.112890091348246,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_m2_macrophage_cd140b_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_stromal_cd140b,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_stromal_cd140b_cd44,4.116236041543811,6.259537995439574,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,endothelial,1.5844621424730028,2.5720585821022044,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,mixed,2.946143189124513,1.5035132995125013,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,neutrophil,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,non_myeloid_immune,3.566297907289446,2.440245823256461,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,stromal,4.582800172276229,3.9780749228220107,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D7,unassigned,2.501442171415441,2.8640573856243954,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_endothelial_cd140b,-0.027019705860271477,-0.3665562679081651,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_endothelial_cd140b_cd44,-0.33769555831802,-0.5542941979323652,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_endothelial_cd44,0.37967053675095197,0.061514891683098594,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_m2_macrophage_cd140b_cd44,-0.43041291480648125,-0.984883954476001,False,True
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_stromal_cd140b,0.5310272164103456,1.561723354641652,False,True
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_stromal_cd140b_cd44,0.832198060093294,0.8967854537607416,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,endothelial,0.6552171062403256,1.2126123711104122,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,mixed,0.6391912514058522,0.8887931340318045,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,neutrophil,3.0876805217637235,2.377612747092038,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,non_myeloid_immune,1.0389112392204176,0.2862754256014452,False,True
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,stromal,5.390853959743389,8.500498965358211,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D3,unassigned,0.47852092561491705,0.6252620319786221,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_endothelial_cd140b,-0.5200613096667274,-0.2004445307235925,False,True
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_endothelial_cd140b_cd44,-0.1736634590737356,-0.34474499604298603,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_endothelial_cd44,1.1872154256025491,0.4206401020962199,False,True
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_m2_macrophage_cd140b_cd44,0.5084249934164312,0.19374433836498994,False,True
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_stromal_cd140b,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_stromal_cd140b_cd44,1.1218822121822158,1.3824802961329634,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,endothelial,-0.4051072453351751,-0.10761263784672782,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,mixed,1.6612453067214457,1.4609959474437744,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,neutrophil,,,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,non_myeloid_immune,-0.007057537930016789,-0.13359904961116664,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,stromal,8.499920548013852,10.579187453840687,False,False
vs_sham_mean_delta_lineage_stromal,D1_vs_D7,unassigned,-0.11621415938170138,0.30775066096180903,True,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_endothelial_cd140b,-0.2744148877465574,0.19262898310652277,True,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_endothelial_cd140b_cd44,0.24778290872829692,0.43044452547234974,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_endothelial_cd44,0.8110309055029012,0.26488760032196246,False,True
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_m2_macrophage_cd140b_cd44,1.0631951972295839,2.0049107599085234,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_stromal_cd140b,,,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_stromal_cd140b_cd44,0.7491982651247238,0.6906344762266488,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,endothelial,-0.6491811655288381,-0.5169159075768665,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,mixed,1.4745050219431135,1.377334794254589,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,neutrophil,,,False,False
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,non_myeloid_immune,-1.0046357065073386,-0.4987890143187635,False,True
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,stromal,3.0718370647607474,1.2274493154230817,False,True
vs_sham_mean_delta_lineage_stromal,D3_vs_D7,unassigned,-0.9004721218287205,-0.5296251090228882,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_endothelial_cd140b,2.499828317434531,2.545098290113486,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_endothelial_cd140b_cd44,0.9640196078105328,1.170840622974317,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_endothelial_cd44,0.5382748370517709,0.589279977061047,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_m2_macrophage_cd140b_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_stromal_cd140b,1.6939095255163692,1.7645745136039528,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_stromal_cd140b_cd44,0.5428031083699287,0.3365837753506456,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,endothelial,0.5909151360624046,1.2892753191203818,False,True
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,mixed,0.5497631853152353,0.3776171934698637,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,neutrophil,-0.8773635567703225,-0.28765056225701635,False,True
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,non_myeloid_immune,1.3664940591652461,0.889794693030193,False,False
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,stromal,-0.12465831319012927,1.6327780234039388,True,True
vs_sham_mean_delta_lineage_stromal,Sham_vs_D1,unassigned,0.600996553480246,0.5720015883998353,False,False
