family,endpoint,contrast,tp1,tp2,n_mice_1,n_mice_2,insufficient_support,mouse_mean_1,mouse_mean_2,mouse_range_1,mouse_range_2,hedges_g,g_shrunk_skeptical,g_shrunk_neutral,g_shrunk_optimistic,pooled_std,g_pathological,bootstrap_range_min,bootstrap_range_max,n_unique_resamples,n_required_80pct,n_required_skeptical,n_required_neutral,n_required_optimistic,normalization_mode,hedges_g_no_none,clr_none_sensitivity,sham_percentile,normalization_sign_reverse,normalization_g_collapse,normalization_magnitude_disagree,hedges_g_sham_ref,endpoint_axis,min_prevalence_sweep_value,headline_rule_version,unassigned_rate_mouse_mean_1,unassigned_rate_mouse_mean_2,composite_label,support_sensitive,cell_type,stratifier_basis,observed_range,threshold_sensitive,headline_demoted_reason,is_headline
A_interface_clr,endothelial+immune_clr,Sham_vs_D7,Sham,D7,2,2,False,-0.3211993693951987,0.12304645456532942,0.04543272836498036,0.4320202027814509,1.168753488320733,0.20565811365696687,0.538410465011098,0.9041271924896258,0.21720128246514342,False,1.115105152329528,16.608692181979176,5,12.0,372.0,55.0,20.0,per_roi_sigmoid,1.06517331230741,False,60.0,False,False,False,2.216950601349114,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.4320202027814509,False,,True
A_interface_clr,endothelial+immune_clr,D1_vs_D3,D1,D3,2,2,False,-0.22041779755063357,-0.10360456095045208,0.16348651376641102,0.11415497674052708,0.6695225233228463,0.12815961645270008,0.32563809505198404,0.5296821304443201,0.09969854424479474,False,0.3511014408990895,1.9878389301760093,5,36.0,956.0,149.0,56.0,per_roi_sigmoid,0.6928571504839286,False,60.0,False,False,True,1.702065650318555,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.16348651376641102,False,,False
A_interface_clr,endothelial+immune_clr,D1_vs_D7,D1,D7,2,2,False,-0.22041779755063357,0.12304645456532942,0.16348651376641102,0.4320202027814509,0.8497819992102544,0.15850993097511382,0.40654248106148383,0.667770186494455,0.23095957210885462,False,0.6923512069845258,3.9110214440322126,5,22.0,625.0,95.0,36.0,per_roi_sigmoid,0.8306126289263585,False,60.0,False,False,False,1.6635060879636596,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.4320202027814509,False,,True
A_interface_clr,endothelial+immune_clr,D3_vs_D7,D3,D7,2,2,False,-0.10360456095045208,0.12304645456532942,0.11415497674052708,0.4320202027814509,0.5796824425441393,0.11216731090838626,0.2838791951319589,0.4598825755506152,0.22342382053283633,False,0.1065310077719317,4.431680805924242,5,47.0,1248.0,195.0,75.0,per_roi_sigmoid,0.5552905407218721,False,60.0,False,False,False,0.5254467301956853,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.4320202027814509,False,,True
A_interface_clr,immune+stromal_clr,Sham_vs_D1,Sham,D1,2,2,False,-0.2512627125716894,-0.5356614636301442,0.2398600199100003,0.018151496069139683,-1.3512066162970104,-0.22851921466394276,-0.6064063099008382,-1.0337794800274307,0.12027292500888732,False,-25.45740642130481,-1.3118270427759897,5,9.0,301.0,43.0,15.0,per_roi_sigmoid,-1.3585582501863713,False,60.0,False,False,False,-0.8962416188480955,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.2398600199100003,False,,True
A_interface_clr,immune+stromal_clr,Sham_vs_D3,Sham,D3,2,2,False,-0.2512627125716894,-0.3632257314962098,0.2398600199100003,0.22807985324882074,-0.3865929384581827,-0.07618004567470855,-0.19150761929797203,-0.3081230942724472,0.16549414537169385,False,-1.161964113264388,0.039920810525642794,5,106.0,2705.0,429.0,166.0,per_roi_sigmoid,-0.4825980236520642,False,60.0,False,False,False,-0.25546544687085365,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.2398600199100003,False,,False
A_interface_clr,immune+stromal_clr,Sham_vs_D7,Sham,D7,2,2,False,-0.2512627125716894,0.23380150470537686,0.2398600199100003,0.45959138182368653,1.0693287379168221,0.1919203477016269,0.49900241447218846,0.8316878631109739,0.2592089250960658,False,0.907972284605615,3.4060813991529013,5,14.0,427.0,64.0,23.0,per_roi_sigmoid,0.9554206662410181,False,60.0,False,False,False,1.2226682354211786,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.45959138182368653,False,,True
A_interface_clr,immune+stromal_clr,D1_vs_D3,D1,D3,2,2,False,-0.5356614636301442,-0.3632257314962098,0.018151496069139683,0.22807985324882074,0.8613135898135433,0.1603658028707417,0.411573640311075,0.6765040705034234,0.11440049854300417,False,0.8185603507965842,18.037122208527542,5,22.0,611.0,93.0,35.0,per_roi_sigmoid,0.7886527039104388,False,60.0,False,False,False,1.2257880795958533,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.22807985324882074,False,,True
A_interface_clr,immune+stromal_clr,D1_vs_D7,D1,D7,2,2,False,-0.5356614636301442,0.23380150470537686,0.018151496069139683,0.45959138182368653,1.9119183540585687,0.28002312678191704,0.7781740433826497,1.4014610511827439,0.22997484376348298,False,1.8908404300575214,62.91546944300053,5,5.0,201.0,26.0,8.0,per_roi_sigmoid,1.8951191499199798,False,60.0,False,False,False,1.9555116429086814,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.45959138182368653,False,,True
A_interface_clr,immune+stromal_clr,D3_vs_D7,D3,D7,2,2,False,-0.3632257314962098,0.23380150470537686,0.22807985324882074,0.45959138182368653,1.3298611771050612,0.226002923442777,0.5987489661528823,1.0188425808342256,0.25653686757686955,False,1.2010353511619778,4.143024798857458,5,9.0,308.0,44.0,16.0,per_roi_sigmoid,1.31355225649487,False,60.0,False,False,False,1.604681554817024,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.45959138182368653,False,,True
