focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois
endothelial+immune,endothelial+stromal,Sham,0.09068285811487808,0.09812928623325044,0.9216179739117107,-0.12070250197687715,0.16666666666666666,1172,6
endothelial+immune,immune,D1,0.057346518835912484,0.060487163991786046,0.9452496354616785,-0.09325498918623787,0.16666666666666666,1249,6
endothelial+immune,immune,D3,0.050130322166148926,0.04624495340932319,1.0604265112863427,0.042166079448076245,0.5,1330,6
endothelial+immune,immune,D7,0.05042825032013871,0.048057181144598275,1.0840041828571254,0.10639334065779715,0.0,1559,6
endothelial+immune,immune,Sham,0.08123284102751362,0.0798790153462741,1.021661521153025,0.02555650506194429,0.16666666666666666,1172,6
endothelial+immune,immune+stromal,D1,0.045186692712330105,0.06296953300937401,0.7265227156069195,-0.470507674779228,1.0,1249,6
endothelial+immune,immune+stromal,D3,0.04193506059495044,0.07164195969218663,0.5829339518492465,-0.7993427223294908,1.0,1330,6
endothelial+immune,immune+stromal,D7,0.04881980984019591,0.11841313149333932,0.44213081643495694,-1.2449683648593026,1.0,1559,6
endothelial+immune,immune+stromal,Sham,0.06457526694797783,0.08687890555309101,0.7471804262685436,-0.423553991926169,1.0,1172,6
endothelial+immune,none,D1,0.18565973177900663,0.19982994353696557,0.9264066741523441,-0.11779056882961199,1.0,1249,6
endothelial+immune,none,D3,0.15942078207820323,0.17607565468236097,0.9071868366406238,-0.1459122938416267,0.5,1330,6
endothelial+immune,none,D7,0.13438585939302466,0.14442729300980117,0.9231115226273369,-0.13129339894516748,0.5,1559,6
endothelial+immune,none,Sham,0.23633313982231852,0.24854028979087772,0.9505898611479594,-0.07386759163521034,0.16666666666666666,1172,6
endothelial+immune,stromal,D1,0.03519118850860544,0.05641653456230667,0.635884300652018,-0.6625228524398743,1.0,1249,6
endothelial+immune,stromal,D3,0.023960220469258126,0.04625220956565659,0.48018302516494243,-1.128115262109421,1.0,1330,6
endothelial+immune,stromal,D7,0.009416776037768502,0.026533722494840938,0.3896764914819522,-1.6792902737877664,0.8333333333333334,1559,6
endothelial+immune,stromal,Sham,0.042861229877739306,0.06364466643377106,0.6872096027684315,-0.5486455045552636,1.0,1172,6
endothelial+immune+stromal,endothelial,D1,0.1341281237075613,0.14668674676706095,0.916680371453693,-0.1285342117996119,0.5,3665,6
endothelial+immune+stromal,endothelial,D3,0.1213278049559876,0.14195323083352904,0.857583679833426,-0.22362170369760012,1.0,4571,6
endothelial+immune+stromal,endothelial,D7,0.08203928510298678,0.11308985545627974,0.7137983967209304,-0.494478370356709,1.0,5643,6
endothelial+immune+stromal,endothelial,Sham,0.13164998729516533,0.13929879749000063,0.94328947792104,-0.08752751832077371,0.3333333333333333,2954,6
endothelial+immune+stromal,endothelial+immune,D1,0.09006720346969656,0.08663199765639128,1.0449850109525938,0.05686100912014025,0.6666666666666666,3665,6
endothelial+immune+stromal,endothelial+immune,D3,0.08995014866795585,0.09221247240339832,0.9766802113709842,-0.03870365882511382,0.5,4571,6
endothelial+immune+stromal,endothelial+immune,D7,0.09198850327364255,0.1056870756144359,0.8830447624676201,-0.1818701495595505,0.8333333333333334,5643,6
endothelial+immune+stromal,endothelial+immune,Sham,0.08404397779161267,0.08064928987932247,1.0461373338857556,0.0631104027319807,0.16666666666666666,2954,6
endothelial+immune+stromal,endothelial+immune+stromal,D1,0.33868661958256974,0.2535376154068462,1.3355832588185834,0.41498629406084264,1.0,3665,6
endothelial+immune+stromal,endothelial+immune+stromal,D3,0.39803416103187056,0.3180372887229554,1.2470592114836503,0.3174440226453107,1.0,4571,6
